enhanced_incident_province,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,Total
Total,109119,161525,170774,172310,148678,108267,36887,907560
浙江省,15051,17649,18249,14963,11720,6369,2714,86715
江苏省,9738,14661,15069,15710,13788,9715,3272,81953
广西壮族自治区,9177,10045,11057,12978,9893,7163,1758,62071
河南省,5513,8635,10007,9861,9020,6638,2714,52388
广东省,7073,10032,9630,8902,8081,6488,1341,51547
四川省,5077,7875,9117,9318,9012,6656,2459,49514
湖南省,5224,8644,9134,9221,8264,6094,2519,49100
重庆市,3103,5822,6484,7524,6873,4543,1956,36305
上海市,3482,6890,6494,5810,6010,4611,1809,35106
山东省,4896,6509,6134,6005,5219,4153,1317,34233
湖北省,3506,5620,6394,6347,5964,4192,1880,33903
福建省,3173,5598,5391,6321,5005,3452,1225,30165
安徽省,3143,4693,5016,5622,5122,3767,1171,28534
云南省,2733,5319,5546,5320,4723,3490,807,27938
江西省,1746,3611,5261,5589,5077,3839,1424,26547
河北省,4813,4686,4562,4372,3582,3075,1055,26145
贵州省,2184,4485,4569,5094,4662,3555,1250,25799
黑龙江省,2259,3973,4147,4413,4220,3221,867,23100
北京市,2734,3990,3875,3835,3377,2842,706,21359
辽宁省,2469,3695,3713,3444,2962,2448,913,19644
吉林省,1791,3385,3604,3324,2687,2132,783,17706
山西省,2026,2900,3017,3296,2297,1990,550,16076
陕西省,2627,2776,2937,3029,2220,1443,413,15445
甘肃省,1316,2128,2817,2811,1908,1151,368,12499
内蒙古自治区,1209,2134,2430,2527,1938,1406,410,12054
天津市,970,1938,2200,2234,1741,1467,401,10951
新疆维吾尔自治区,725,1501,1708,1987,1615,895,360,8791
宁夏回族自治区,403,654,699,874,629,542,160,3961
海南省,555,774,576,557,438,377,82,3359
青海省,277,706,636,681,350,376,175,3201
西藏自治区,112,166,267,323,260,161,22,1311
香港特别行政区,10,19,26,13,16,12,4,100
澳门特别行政区,2,8,6,4,4,3,2,29
台湾省,2,4,2,1,1,1,0,11
