enhanced_incident_province,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,Total
Total,75372,116307,126464,129816,113007,82250,29483,672699
浙江省,11449,13797,14543,11871,9278,4748,2179,67865
江苏省,7201,11254,12080,12526,11056,7827,2823,64767
广西壮族自治区,6459,7346,8326,10242,7745,5637,1447,47202
河南省,3957,6643,7651,7874,7220,5197,2207,40749
四川省,3606,5691,6585,6861,6842,5046,1939,36570
湖南省,3469,6139,6705,6732,6071,4539,1967,35622
广东省,4263,6306,6258,5888,5509,4645,1008,33877
上海市,2594,5649,5461,4922,5253,4118,1705,29702
重庆市,2135,4185,4795,5718,5247,3448,1494,27022
湖北省,2435,4173,4783,4838,4617,3260,1450,25556
山东省,3151,4364,4186,4282,3717,2927,999,23626
安徽省,2137,3372,3774,4394,4030,3074,955,21736
江西省,1240,2691,3952,4301,3935,3006,1221,20346
福建省,1939,3544,3681,4350,3444,2444,901,20303
云南省,1765,3709,4019,3874,3525,2598,630,20120
贵州省,1530,3276,3410,3822,3526,2727,993,19284
河北省,3297,3140,3125,3083,2515,2197,817,18174
黑龙江省,1452,2705,2867,3188,3083,2389,671,16355
北京市,1790,2728,2741,2850,2436,2056,534,15135
辽宁省,1513,2528,2513,2399,2076,1689,693,13411
吉林省,1226,2429,2662,2414,2023,1552,590,12896
山西省,1384,2027,2187,2388,1675,1496,444,11601
陕西省,1790,1899,2173,2318,1684,1071,319,11254
内蒙古自治区,793,1489,1711,1831,1434,991,319,8568
甘肃省,879,1369,1974,1922,1323,780,251,8498
天津市,577,1203,1464,1566,1171,993,268,7242
新疆维吾尔自治区,537,1176,1367,1666,1346,745,308,7145
宁夏回族自治区,271,422,465,643,475,405,128,2809
青海省,184,493,462,509,274,278,143,2343
海南省,246,390,301,258,243,210,54,1702
西藏自治区,98,143,219,276,218,147,20,1121
香港特别行政区,4,17,17,6,11,9,4,68
澳门特别行政区,0,6,5,3,4,0,2,20
台湾省,1,4,2,1,1,1,0,10
