enhanced_incident_province,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,Total
Total,3310,5928,5465,5339,4765,3840,1166,29813
广西壮族自治区,414,478,499,552,506,471,87,3007
重庆市,215,576,533,516,517,381,251,2989
广东省,327,621,551,447,365,316,53,2680
湖南省,217,404,371,341,318,294,71,2016
浙江省,287,415,400,306,259,172,33,1872
贵州省,141,352,321,374,333,254,89,1864
四川省,117,225,350,338,358,324,136,1848
湖北省,117,239,225,223,234,229,141,1408
江苏省,186,330,207,265,205,175,22,1390
甘肃省,110,210,265,329,220,107,43,1284
福建省,133,259,211,292,204,129,25,1253
云南省,83,193,163,178,175,154,25,971
河南省,92,124,203,130,105,88,29,771
山东省,98,171,104,86,95,51,12,617
辽宁省,115,124,129,96,57,63,28,612
陕西省,118,149,97,92,84,49,12,601
上海市,86,155,107,66,59,47,7,527
北京市,74,134,95,66,69,67,16,521
江西省,30,69,94,89,100,105,16,503
海南省,39,95,71,74,90,92,21,482
安徽省,59,101,67,73,61,30,5,396
黑龙江省,55,89,67,65,63,38,4,381
天津市,28,75,71,63,64,47,10,358
山西省,34,60,50,78,38,43,2,305
新疆维吾尔自治区,19,71,52,41,49,28,8,268
内蒙古自治区,37,58,51,43,47,22,3,261
吉林省,25,61,37,54,34,30,5,246
河北省,24,27,31,9,24,10,4,129
宁夏回族自治区,21,33,20,21,12,7,1,115
青海省,4,26,17,24,11,17,6,105
西藏自治区,3,2,4,7,7,0,1,24
香港特别行政区,2,2,1,1,2,0,0,8
澳门特别行政区,0,0,1,0,0,0,0,1
