Province,Year,GDP_100M_Yuan,GDP_Per_Capita,GDP_Index,Total_Population,Urban_Population,Rural_Population,Gender_Ratio,Area_km2,Per_Capita_Disposable_Income_All,Per_Capita_Consumption_Expenditure_All,Urban_Per_Capita_Disposable_Income,Urban_Per_Capita_Consumption_Expenditure,Rural_Per_Capita_Disposable_Income,Rural_Per_Capita_Consumption_Expenditure,Consumer_Price_Index,Primary_Industry_Value_Added,Secondary_Industry_Value_Added,Tertiary_Industry_Value_Added,Industrial_Value_Added,Agriculture_Forestry_Animal_Husbandry_Fishery_Value_Added,Construction_Value_Added,Real_Estate_Value_Added,Financial_Industry_Value_Added,Urban_Registered_Unemployed,Urban_Registered_Unemployment_Rate,Labor_Compensation,Gross_Fixed_Capital_Formation,Gross_Capital_Formation,Capital_Formation_Rate,Fixed_Asset_Depreciation,Local_Government_Budget_Revenue,Local_Government_Budget_Expenditure,Local_Government_Public_Safety_Expenditure,Total_Import_Export_Value,Foreign_Investment_Enterprise_Import_Export,Net_Exports_Goods_Services,Final_Consumption,Final_Consumption_Rate,Government_Consumption,Resident_Consumption,Operating_Surplus,Net_Production_Taxes,Inventory_Increase,Urbanization_Rate,Population_Density,Trade_Openness,Primary_Industry_Share,Secondary_Industry_Share,Tertiary_Industry_Share,Urban_Rural_Income_Ratio,Public_Safety_Spending_Per_Capita,Government_Expenditure_GDP_Ratio,Foreign_Investment_Trade_Share,Education_Funding_10K_Yuan,College_Diploma_Graduates_10K,University_Bachelor_Graduates_10K,Total_Higher_Education_Graduates_10K,Total_Crimes,Violent_Crimes,Property_Crimes,Robbery_Crimes,Intentional_Assault_Crimes,Theft_Crimes,Drug_Trafficking_Crimes,Total_Crime_Rate,Violent_Crime_Rate,Property_Crime_Rate,Robbery_Crime_Rate,Assault_Crime_Rate,Theft_Crime_Rate,Drug_Crime_Rate
上海市,2013,23204.1,95746,107.9,2448,2193,255,106.24,6340,42174,30400,44878,32447,19208,13016,102.3,131.6,8286.5,14786,7765.3,136,586.5,1917.4,2787.2,25.3,4,9852.6,7617.1,8358.8,38.7,3076.8,4109.51,4528.61,226.51,434277989,288560529,727,12516.3,57.9,3111.3,9405,5862.6,4412.1,741.7,89.58333333333334,3861.198738170347,12.165121372947024,0.5671411517792114,35.71136135424343,63.72149749397737,2.3364223240316533,0.09252859477124183,19.5164216668606,66.44604062583517,9069715,4.92,8.46,13.38,3482,362,2734,178,65,2594,86,14.223856209150327,1.4787581699346406,11.168300653594772,0.727124183006536,0.26552287581699346,10.59640522875817,0.3513071895424837
上海市,2014,25269.8,102827,107.1,2467,2203,264,106.7,6340,45966,33065,48841,35182,21192,14820,102.7,132,8633.3,16504.5,8099.9,136.3,601.4,2121.1,3365.3,25.6,4.1,10975.2,8022.5,8767.8,37.2,3220.7,4585.55,4923.44,250.91,452602727,310115138,941.8,13858.1,58.8,3448.8,10409.4,6404.8,4669.1,745.3,89.29874341305229,3891.167192429022,11.642030113020285,0.5223626621500763,34.16449675106253,65.31314058678738,2.304690449226123,0.10170652614511552,19.48349413133464,68.51817708999354,9892212,4.73,8.51,13.24,6890,561,5774,297,73,5649,155,27.92865828942035,2.2740170247263882,23.404945277665178,1.2038913660316173,0.2959059586542359,22.898256992298336,0.6282934738548844
上海市,2015,26887,109186,107,2458,2176,282,108.37,6340,49867,34784,52962,36946,23205,16152,102.4,125.5,8408.7,18352.8,7888.6,129.7,589.3,2404.2,4089.5,24.8,4,11818.2,8999.9,9550.8,38,3410.4,5519.5,6191.56,269.2,423037090,300702596,718.1,14854.5,59.1,3764.9,11089.6,6806.1,4852.4,551,88.52725793327909,3876.9716088328078,10.227028247852123,0.46676832670063606,31.274221742849704,68.25900993044965,2.2823529411764705,0.10951993490642799,23.02808048499275,71.08185147548174,10131153,4.33,8.54,12.87,6494,512,5569,252,54,5461,107,26.419853539462977,2.082994304312449,22.656631407648494,1.0252237591537834,0.21969080553295361,22.21724979658259,0.435313262815297
上海市,2016,29887,121369,106.9,2467,2196,271,105.87,6340,54305,37458,57692,39857,25520,17071,103.2,114.3,8570.2,21202.4,8045.5,118.3,595.6,3102.5,4698,24.3,4.1,13213.2,10631.4,11321.2,40.2,3724.1,6406.13,6918.94,337.17,404613805,286260912,680.4,16177,57.4,4182.3,11994.8,7635,5314.7,689.8,89.01499797324686,3891.167192429022,8.799778273162245,0.38244180560713886,28.6754397411575,70.94211845323537,2.2606583072100315,0.13667207134171058,23.15033292066785,70.74917080498525,11218946,4.49,8.77,13.26,5810,387,5019,189,38,4922,66,23.55087150385083,1.5687069314957438,20.344548034049453,0.7661126874746655,0.15403323875152006,19.951357924604785,0.26753141467369274
上海市,2017,32925,133489,107,2466,2197,269,103.54,6340,58988,39792,62596,42304,27825,18090,101.7,110.8,9525.9,23288.3,8977.4,115.1,634.4,2873.2,5334.5,22.1,3.9,14997.1,11507.2,12193.1,39.8,3923.6,6642.26,7547.62,356.12,447349338,317358055,888.9,17551,57.3,4580.9,12970.1,8780,5224.4,685.9,89.09164639091647,3889.589905362776,8.831497940774486,0.3365223993925588,28.932118451025055,70.73135914958239,2.2496316262354,0.14441200324412004,22.923675018982536,70.94188546669984,12104556,4.73,8.69,13.42,6010,296,5330,143,49,5253,59,24.371451743714516,1.2003244120032441,21.613949716139498,0.5798864557988646,0.19870235198702355,21.30170316301703,0.23925385239253852
上海市,2018,36011.8,145767,106.8,2475,2206,269,106.61,6340,64183,43351,68034,46015,30375,19965,101.6,104.8,10360.8,25546.3,9763.5,112.4,685.7,3185.3,5901.9,19.4,3.5,NA,NA,NA,NA,NA,7108.15,8351.54,412.13,485863759,332613672,NA,NA,NA,NA,NA,NA,NA,NA,89.13131313131314,3903.7854889589908,8.7696655915561,0.2910149145143689,28.770489754775507,70.93849533071014,2.2398024691358023,0.16651717171717173,23.19112068821886,68.45821814011857,13412840,4.67,8.58,13.25,4611,188,4175,88,31,4118,47,18.630303030303033,0.7595959595959596,16.86868686868687,0.35555555555555557,0.12525252525252525,16.638383838383838,0.1898989898989899
上海市,2019,37987.6,153299,106,2481,2214,267,107.86,6340,69442,45605,73615,48272,33195,22449,102.5,107.1,10193.6,27686.9,9565.1,113.3,716.2,3300.7,6535.2,19.3,3.6,NA,NA,NA,NA,NA,7165.1,8179.28,413.34,473699895,316694516,NA,NA,NA,NA,NA,NA,NA,NA,89.23821039903265,3913.2492113564667,8.10540628389264,0.2819341048131495,26.834019522159856,72.88404637302698,2.217653261033288,0.16660217654171702,21.531447103791766,66.85551745794666,14125408,4.61,8.56,13.17,1809,29,1710,11,2,1705,7,7.291414752116083,0.11688835147118097,6.892382103990326,0.044336960902861745,0.008061265618702136,6.872228939943572,0.028214429665457477
云南省,2013,12825.5,27665,112.2,4641,1856,2785,107.56,394100,12578,8824,22460,14862,6724,5247,103.1,1878.5,5000.5,5946.5,3903.4,1912.8,1100,586.7,737.1,18.1,4,6568,9311.1,9955.3,84.9,1602.9,1611.3,4096.51,214.22,15824303,843729,-5598.5,7364.2,62.8,2119.6,5244.6,2707.4,1947.2,644.1,39.99138116785176,117.76198934280639,0.8019801918053876,14.64660247163853,38.98873338271412,46.364664145647346,3.340273646638906,0.04615815556992028,31.94035320260419,5.331855690579231,9006912,6.3,6.5,12.79,2733,558,1831,300,133,1765,83,5.888817065287654,1.2023270846800258,3.945270415858651,0.6464124111182935,0.2865761689291101,3.8030596854126264,0.1788407670760612
云南省,2014,14041.7,30217,108.1,4653,1918,2735,105.4,394100,13772,9870,24299,16268,7456,6030,102.4,2007.4,5376.5,6657.7,4085,2045.4,1294.6,659.7,881.3,19.2,4,7208.4,10918.8,11678.6,91.1,1812.3,1698.06,4437.98,219.66,19913782,647924,-7071.6,8207.5,64,2456.6,5750.9,2936,2084.9,759.8,41.220717816462496,118.06648058868308,0.9218227351389076,14.296091613491344,38.289796034639934,47.41411235186874,3.258986051502146,0.047208252740167635,31.605717256457545,3.253646143158542,9199396,6.79,7.41,14.2,5319,892,3805,490,183,3709,193,11.431334622823984,1.9170427681065978,8.177519879647539,1.053084031807436,0.39329464861379754,7.971201375456694,0.41478615946701053
云南省,2015,14960,32117,108.7,4663,2002,2661,104.98,394100,15223,11005,26373,17675,8242,6830,101.9,2079.3,5491.7,7389,4044.5,2121.8,1450.5,709.7,1001,19.5,4,7864.2,12080.1,12606.9,92.6,1939.7,1808.1,4712.83,242.54,18990696,503666,-7843.1,8855.3,65,2501.1,6354.3,3103.6,2052.5,526.8,42.93373364786618,118.32022329358031,0.8251305080213903,13.899064171122996,36.70922459893048,49.39171122994652,3.1998301383159427,0.05201372506969762,31.5028743315508,2.6521724111638667,10455388,5.69,8.91,14.6,5546,840,4096,446,162,4019,163,11.893630709843448,1.801415397812567,8.784044606476517,0.956465794552863,0.3474158267209951,8.618914861677032,0.34956036886124814
