数据库：分省年度数据
指标：性别比(女=100)(人口抽样调查)(女=100)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,101.56,98.75,102.65,105.85,109.45,102.24,107.62
天津市,123.17,115.72,111.10,114.39,120.43,100.34,98.87
河北省,104.26,101.67,103.14,104.61,102.15,104.91,105.50
山西省,102.32,104.73,108.34,106.04,107.49,103.30,105.52
内蒙古自治区,106.68,104.26,100.79,102.05,104.32,103.90,107.91
辽宁省,100.71,100.37,100.12,101.86,100.45,102.74,101.97
吉林省,101.94,102.03,102.42,103.41,102.02,103.65,106.23
黑龙江省,102.77,102.93,103.83,102.11,101.59,100.16,102.94
上海市,107.86,106.61,103.54,105.87,108.37,106.70,106.24
江苏省,103.38,103.43,103.02,101.44,103.01,101.66,99.94
浙江省,107.64,107.97,111.48,108.56,107.37,109.98,107.54
安徽省,102.13,106.06,104.92,105.52,104.90,98.60,104.11
福建省,107.51,108.41,104.12,103.80,105.71,108.56,107.89
江西省,104.29,105.83,108.28,108.45,106.12,109.27,108.52
山东省,101.92,100.77,101.68,104.14,104.45,102.65,103.87
河南省,102.03,102.45,104.49,103.89,103.99,102.33,101.09
湖北省,101.45,106.15,106.34,105.49,104.12,103.90,103.33
湖南省,103.88,101.51,101.68,104.51,102.98,105.29,105.70
广东省,118.05,117.27,113.46,113.02,113.51,118.62,110.84
广西壮族自治区,106.98,108.47,109.20,108.43,105.57,108.36,109.44
海南省,106.34,104.69,110.02,111.46,110.47,115.37,111.71
重庆市,100.17,100.35,99.57,103.37,100.60,105.88,103.96
四川省,96.73,98.67,101.93,99.73,100.89,98.23,104.02
贵州省,107.42,109.37,107.23,106.65,107.12,104.68,107.05
云南省,104.14,107.67,107.41,102.16,104.98,105.40,107.56
西藏自治区,100.31,98.98,100.85,102.18,102.33,101.07,103.23
陕西省,103.00,100.47,97.38,101.93,102.59,107.05,105.02
甘肃省,102.19,103.65,103.27,102.85,106.18,107.60,105.64
青海省,106.91,108.34,105.93,105.80,109.29,101.09,103.85
宁夏回族自治区,105.95,98.27,96.91,106.70,106.16,105.80,104.32
新疆维吾尔自治区,101.73,99.76,102.12,104.48,104.12,104.50,105.25
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
