数据库：分省年度数据
指标：乡村人口(万人)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,277,283,287,291,291,293,289
天津市,217,222,232,241,246,249,250
河北省,3070,3169,3279,3402,3550,3708,3788
山西省,1354,1406,1453,1502,1553,1612,1666
内蒙古自治区,810,835,861,892,925,956,986
辽宁省,1231,1276,1316,1347,1386,1436,1464
吉林省,939,972,1018,1059,1107,1141,1181
黑龙江省,1152,1216,1295,1347,1395,1471,1538
上海市,267,269,269,271,282,264,255
江苏省,2332,2433,2512,2604,2703,2840,2917
浙江省,1812,1881,1918,1960,2016,2064,2086
安徽省,2618,2695,2769,2858,2947,3040,3122
福建省,1329,1355,1391,1430,1465,1499,1523
江西省,1848,1925,1998,2069,2139,2215,2281
山东省,3854,3884,3934,4076,4245,4436,4536
河南省,4553,4711,4859,5008,5140,5300,5399
湖北省,2262,2308,2369,2438,2505,2575,2638
湖南省,2825,2913,3010,3134,3255,3373,3456
广东省,3416,3481,3552,3555,3561,3605,3596
广西壮族自治区,2343,2383,2425,2465,2502,2550,2597
海南省,404,401,408,414,426,437,439
重庆市,1013,1056,1100,1140,1183,1225,1256
四川省,3728,3869,3997,4126,4240,4354,4463
贵州省,1867,1929,1987,2046,2115,2197,2256
云南省,2420,2472,2521,2589,2661,2735,2785
西藏自治区,236,234,233,233,235,240,241
陕西省,1527,1586,1637,1689,1741,1798,1842
甘肃省,1237,1265,1308,1359,1407,1461,1510
青海省,243,251,261,270,279,283,290
宁夏回族自治区,261,269,275,287,294,306,314
新疆维吾尔自治区,1138,1159,1193,1204,1222,1237,1258
注：常住人口包括：居住在本乡镇街道且户口在本乡镇街道或户口待定的人；居住在本乡镇街道且离开户口登记地所在的乡镇街道半年以上的人；户口在本乡镇街道且外出不满半年或在境外工作学习的人。
数据来源：国家统计局
