数据库：分省年度数据
指标：人均地区生产总值(元/人)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,161776,150962,136172,123391,113692,106732,100569
天津市,101557,95689,87280,79647,75868,74960,71345
河北省,47036,43808,41451,38688,35994,34507,33346
山西省,48469,45517,41242,33972,33593,34248,33848
内蒙古自治区,71170,66491,61196,56560,52972,49585,46320
辽宁省,58019,54657,50221,47069,46482,45915,43956
吉林省,47554,44925,42890,40259,38128,37539,35139
黑龙江省,41156,38199,35887,34025,32759,33464,32068
上海市,153299,145767,133489,121369,109186,102827,95746
江苏省,116650,110508,102202,92658,85871,78711,72768
浙江省,98770,93230,85612,78384,73276,68569,65105
安徽省,60561,56063,49092,43686,39692,37580,34404
福建省,102722,94719,83758,74024,67649,63709,58255
江西省,54640,50347,44878,40950,37436,34988,31952
山东省,69901,66284,62993,59239,56205,51933,48673
河南省,54356,50714,45723,41326,38338,35982,33114
湖北省,76712,71097,63169,56844,52021,48635,43835
湖南省,60104,54763,51030,46606,43155,39181,35702
广东省,86956,81625,76218,69671,64516,59909,56029
广西壮族自治区,42778,39837,36441,33340,30890,28603,26416
海南省,53929,50263,46631,43009,39704,37166,34053
重庆市,74337,68460,64171,58327,52480,48311,43527
四川省,55619,51658,45835,40297,37150,35563,32750
贵州省,43727,40271,35988,31589,28547,25101,22089
云南省,49323,44446,39458,35051,32117,30217,27665
西藏自治区,47491,44051,39158,35015,31847,29275,26209
陕西省,65506,61115,55216,49341,46654,45610,41906
甘肃省,34707,32178,29103,27396,25946,25724,23647
青海省,49976,46854,42211,38968,34883,32218,30005
宁夏回族自治区,52537,49614,45718,40339,37876,36815,35135
新疆维吾尔自治区,53542,51238,45476,40020,39520,40193,36988
数据来源：国家统计局
