数据库：分省年度数据
指标：住宿和餐饮业增加值(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,538.1,515.3,470.4,447.0,441.7,404.4,413.1
天津市,169.1,157.9,147.2,123.0,116.6,115.2,114.9
河北省,389.0,354.8,330.5,297.2,274.7,251.1,228.6
山西省,207.1,193.5,176.8,165.8,156.2,133.3,121.6
内蒙古自治区,361.5,330.2,318.7,302.6,283.8,263.9,247.5
辽宁省,316.9,296.3,287.8,284.9,268.5,261.8,250.3
吉林省,192.6,188.1,181.1,178.1,168.7,163.6,160.3
黑龙江省,232.0,213.7,200.2,186.6,173.7,162.6,144.4
上海市,458.9,451.6,430.3,400.1,382.9,368.8,318.2
江苏省,1531.4,1413.4,1302.9,1203.2,1112.6,1094.5,1028.0
浙江省,1085.5,991.9,941.3,889.4,813.8,726.1,646.6
安徽省,741.9,688.2,614.7,552.8,500.0,416.8,374.0
福建省,655.6,611.8,557.7,493.1,458.6,424.1,398.7
江西省,453.4,408.4,386.1,373.3,354.1,353.5,319.7
山东省,1173.7,1040.7,983.7,868.2,802.5,681.1,619.2
河南省,1157.6,1037.9,979.3,843.9,798.6,764.3,708.9
湖北省,1248.5,1125.9,1022.2,913.7,828.8,753.7,673.6
湖南省,915.7,835.6,774.3,726.7,654.6,570.0,518.7
广东省,1880.5,1749.4,1654.3,1575.9,1452.8,1333.4,1256.7
广西壮族自治区,376.9,342.7,322.7,301.1,289.8,284.7,284.8
海南省,267.2,252.4,221.4,202.0,183.1,167.4,148.6
重庆市,502.0,458.3,426.0,392.0,356.2,321.9,291.1
四川省,1178.6,1043.2,934.0,852.9,780.3,706.0,645.9
贵州省,417.2,378.4,337.2,292.6,264.1,243.8,227.1
云南省,589.5,539.2,486.4,435.4,398.1,384.8,347.0
西藏自治区,41.9,39.5,34.9,32.4,31.3,28.5,24.9
陕西省,426.6,393.0,367.8,346.2,334.5,290.0,274.6
甘肃省,158.3,143.0,138.7,133.3,126.7,118.9,112.4
青海省,50.8,47.5,45.4,43.6,40.1,30.1,27.6
宁夏回族自治区,53.7,49.4,45.6,43.0,40.6,38.6,36.2
新疆维吾尔自治区,181.4,168.9,159.0,142.8,139.7,129.3,119.1
数据来源：国家统计局
