数据库：分省年度数据
指标：住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上男性人口数(人口抽样调查)(人)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,4243,4555,4446,4373,96515,5348,4644
天津市,2563,2473,2342,2477,54297,1449,1420
河北省,3637,3220,2841,3102,72519,2662,2741
山西省,2695,3356,3104,2479,62267,2614,3148
内蒙古自治区,3393,3167,2997,3025,58678,2964,2892
辽宁省,3769,3465,2851,2701,63972,3301,3633
吉林省,2610,2496,2308,2021,39339,1612,1624
黑龙江省,2013,2272,2262,1767,34874,2583,2376
上海市,5431,5499,5387,5799,112335,6532,6318
江苏省,7988,8004,7373,6405,163289,7239,5965
浙江省,8938,9058,8389,8032,163908,9819,9773
安徽省,4340,4389,3446,2688,75739,3254,3045
福建省,5258,5405,5235,5090,101909,6514,6039
江西省,2620,1564,1401,2049,50816,1806,1896
山东省,6009,5409,5790,5467,130520,4408,4460
河南省,3757,2956,2761,4069,86741,3044,3210
湖北省,5003,5257,5248,4722,98921,4248,4944
湖南省,4207,4268,3863,3459,76952,3087,2489
广东省,20981,20118,18386,17746,360865,16042,16461
广西壮族自治区,2889,2570,2095,2185,51946,2908,2426
海南省,638,766,753,568,15829,877,689
重庆市,3280,3295,3126,2992,52060,2994,2566
四川省,6651,6423,5685,4637,117133,4574,4942
贵州省,1986,2137,2054,1771,45972,2194,2289
云南省,2890,2883,2111,2208,56717,1882,2520
西藏自治区,147,104,40,74,3620,18,86
陕西省,2466,2436,2099,2237,57623,2031,2488
甘肃省,1392,1380,1007,839,31508,906,1024
青海省,559,582,397,363,9850,427,377
宁夏回族自治区,692,597,586,637,14243,609,627
新疆维吾尔自治区,1661,1958,1736,1659,37404,1662,1832
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
