数据库：分省年度数据
指标：住本乡、镇、街道，户口在本乡、镇、街道女性人口数(人口抽样调查)(人)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,3822,4241,4344,4575,74916,3494,3790
天津市,3959,4199,4191,4402,74813,4720,4635
河北省,25261,26621,26950,27144,492678,26668,26397
山西省,11522,11690,11850,12431,221605,11696,11478
内蒙古自治区,6365,7110,7114,7165,134109,7086,7151
辽宁省,12824,13845,14511,15373,270210,14336,13476
吉林省,7297,8077,8551,9045,168753,9229,9153
黑龙江省,12217,12801,12788,13748,251664,12675,13044
上海市,4228,4621,4538,4386,81767,3776,3948
江苏省,23677,25287,25601,26694,469392,25270,26705
浙江省,14108,14887,15467,15849,276197,13483,13014
安徽省,20236,21156,21594,22418,397833,20728,20830
福建省,10115,10727,10568,11038,197713,9056,9279
江西省,14877,16738,16835,16678,295609,16302,16306
山东省,32740,35266,34355,35050,633257,35303,35024
河南省,33493,35857,35506,35112,645988,34646,35272
湖北省,17308,18586,18593,19622,351928,19000,18412
湖南省,21928,22952,23462,24657,437543,23944,24262
广东省,25296,27458,28056,28664,501096,29461,27360
广西壮族自治区,15703,16760,17010,17294,305418,15683,15801
海南省,2700,2724,2756,3030,52109,2661,2792
重庆市,8688,9123,9346,9621,177818,9209,9539
四川省,25456,27082,27929,29532,511401,28294,27807
贵州省,11431,11813,12039,12597,220438,11071,11387
云南省,15523,16455,17217,17205,303866,16872,16294
西藏自治区,1223,1336,1349,1307,22037,1236,1184
陕西省,12788,13380,13008,13429,234802,13450,12665
甘肃省,8883,9288,9552,9908,169087,9367,9353
青海省,1813,1856,2016,2092,35498,1896,1947
宁夏回族自治区,1970,2108,2086,2153,37397,2084,2028
新疆维吾尔自治区,8058,8220,8152,8178,143390,7414,7375
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
