数据库：分省年度数据
指标：住本乡、镇、街道，户口在本乡、镇、街道男性人口数(人口抽样调查)(人)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,4076,4154,4489,4880,77840,3585,4349
天津市,4094,4363,4368,4475,76116,4808,4607
河北省,26471,27924,28511,28693,509558,28407,28175
山西省,11926,12177,12696,13372,231849,12611,12157
内蒙古自治区,6764,7410,7411,7614,139971,7525,7753
辽宁省,13130,14315,15016,15742,275840,14987,14609
吉林省,7683,8464,8933,9559,175787,9808,9933
黑龙江省,12711,13370,13550,14289,262252,13192,13634
上海市,4244,4666,4578,4487,80782,3742,3891
江苏省,23705,25393,25862,27174,462056,25604,26527
浙江省,14338,15100,15939,16216,277305,13799,13378
安徽省,20603,22141,22720,23932,411542,21476,22084
福建省,10364,11117,10800,11099,198552,9446,9768
江西省,15868,17898,18315,17957,313638,17677,17374
山东省,33334,35806,35516,36978,649461,36240,36188
河南省,34102,36714,37375,36669,662816,36199,35675
湖北省,18120,19601,19654,20499,362301,20075,19200
湖南省,23122,24085,24543,25654,456653,25282,25728
广东省,27014,29742,29985,30832,525764,31343,28999
广西壮族自治区,17006,18309,18768,18866,328786,17299,17668
海南省,3131,3117,3202,3463,57963,3082,3186
重庆市,8826,9387,9433,9901,181848,9653,9887
四川省,25301,27406,28769,29921,521034,28475,28870
贵州省,12565,13187,13126,13579,236642,12455,12515
云南省,16344,17573,18342,17976,319628,17902,17351
西藏自治区,1223,1294,1346,1329,21880,1251,1214
陕西省,12773,13394,13437,13877,239634,14026,13347
甘肃省,9013,9577,9963,10257,176205,10124,9867
青海省,1876,1975,2130,2185,37792,1976,2029
宁夏回族自治区,2084,2191,2170,2280,39056,2187,2112
新疆维吾尔自治区,8225,8166,8396,8565,148929,7896,7636
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
