数据库：分省年度数据
指标：全体居民人均可支配收入(元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,67756,62361,57230,52530,48458,44489,40830
天津市,42404,39506,37022,34074,31291,28832,26359
河北省,25665,23446,21484,19725,18118,16647,15190
山西省,23828,21990,20420,19049,17854,16538,15120
内蒙古自治区,30555,28376,26212,24127,22310,20559,18693
辽宁省,31820,29701,27835,26040,24576,22820,20818
吉林省,24563,22798,21368,19967,18684,17520,15998
黑龙江省,24254,22726,21206,19838,18593,17404,15903
上海市,69442,64183,58988,54305,49867,45966,42174
江苏省,41400,38096,35024,32070,29539,27173,24776
浙江省,49899,45840,42046,38529,35537,32658,29775
安徽省,26415,23984,21863,19998,18363,16796,15154
福建省,35616,32644,30048,27608,25404,23331,21218
江西省,26262,24080,22031,20110,18437,16734,15100
山东省,31597,29205,26930,24685,22703,20864,19008
河南省,23903,21964,20170,18443,17125,15695,14204
湖北省,28319,25815,23757,21787,20026,18283,16472
湖南省,27680,25241,23103,21115,19317,17622,16005
广东省,39014,35810,33003,30296,27859,25685,23421
广西壮族自治区,23328,21485,19905,18305,16873,15557,14082
海南省,26679,24579,22553,20653,18979,17476,15733
重庆市,28920,26386,24153,22034,20110,18352,16569
四川省,24703,22461,20580,18808,17221,15749,14231
贵州省,20397,18430,16704,15121,13697,12371,11083
云南省,22082,20084,18348,16720,15223,13772,12578
西藏自治区,19501,17286,15457,13639,12254,10730,9740
陕西省,24666,22528,20635,18874,17395,15837,14372
甘肃省,19139,17488,16011,14670,13467,12185,10954
青海省,22618,20757,19001,17302,15813,14374,12948
宁夏回族自治区,24412,22400,20562,18832,17329,15907,14566
新疆维吾尔自治区,23103,21500,19975,18355,16859,15097,13670
数据来源：国家统计局
