数据库：分省年度数据
指标：全体居民人均消费支出(元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,43038,39843,37425,35416,33803,31103,29176
天津市,31854,29903,27841,26129,24162,22343,20419
河北省,17987,16722,15437,14247,13031,11932,10872
山西省,15863,14810,13664,12683,11729,10864,10118
内蒙古自治区,20743,19665,18946,18072,17179,16258,14878
辽宁省,22203,21398,20463,19853,17200,16068,14950
吉林省,18075,17200,15632,14773,13764,13026,12054
黑龙江省,18111,16994,15577,14446,13403,12769,12037
上海市,45605,43351,39792,37458,34784,33065,30400
江苏省,26697,25007,23469,22130,20556,19164,17926
浙江省,32026,29471,27079,25527,24117,22552,20610
安徽省,19137,17045,15752,14712,12840,11727,10544
福建省,25314,22996,21249,20167,18850,17644,16177
江西省,17650,15792,14459,13259,12403,11089,10053
山东省,20427,18780,17281,15926,14578,13329,11897
河南省,16332,15169,13730,12712,11835,11000,10002
湖北省,21567,19538,16938,15889,14316,12928,11761
湖南省,20479,18808,17160,15750,14267,13289,11946
广东省,28995,26054,24820,23448,20976,19205,17421
广西壮族自治区,16418,14935,13424,12295,11401,10274,9596
海南省,19555,17528,15403,14275,13575,12471,11193
重庆市,20774,19248,17898,16385,15140,13811,12600
四川省,19338,17664,16180,14839,13632,12368,11055
贵州省,14780,13798,12970,11932,10414,9303,8288
云南省,15780,14250,12658,11769,11005,9870,8824
西藏自治区,13029,11520,10320,9319,8246,7317,6307
陕西省,17465,16160,14900,13943,13087,12204,11217
甘肃省,15879,14624,13120,12254,10951,9875,8943
青海省,17545,16557,15503,14775,13611,12605,11576
宁夏回族自治区,18297,16715,15350,14965,13816,12485,11292
新疆维吾尔自治区,17397,16189,15087,14066,12867,11904,11392
数据来源：国家统计局
