数据库：分省年度数据
指标：其他行业增加值(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,16043.1,14667.6,12866.8,11391.1,10222.0,9098.9,8218.1
天津市,3337.2,2997.2,2583.2,2168.6,1886.8,1706.4,1491.5
河北省,6856.8,6026.4,5041.4,4379.0,3745.3,3150.6,2954.5
山西省,3814.5,3467.2,2980.0,2432.2,2321.4,1817.7,1653.2
内蒙古自治区,3776.3,3519.2,3105.5,2597.7,2365.2,1940.4,1752.7
辽宁省,5800.1,5365.5,4723.4,4289.3,3893.5,3684.5,3226.5
吉林省,3094.1,2963.5,2819.1,2508.0,2197.7,2195.2,2075.7
黑龙江省,3096.5,2818.9,2537.1,2317.9,2099.2,1864.9,1655.6
上海市,10624.5,9410.1,8615.6,7453.9,6367.3,5788.2,5155.2
江苏省,19589.0,17768.1,16019.5,14459.5,12424.0,10931.7,9503.6
浙江省,14025.3,12303.7,10839.5,9368.9,8050.2,6746.2,6037.3
安徽省,7456.7,6526.7,5532.8,4528.1,3811.5,3038.2,2637.2
福建省,7200.5,6414.1,5409.4,4342.4,3605.8,3026.4,2696.5
江西省,4632.7,4144.9,3496.3,3186.9,2746.7,2306.1,1999.0
山东省,14149.9,12730.0,11638.7,10378.6,9024.9,7525.1,6892.4
河南省,11379.5,10141.5,8081.1,6884.0,5979.4,5137.7,4398.8
湖北省,9566.0,8527.7,7003.0,5892.6,5258.6,4803.1,4041.1
湖南省,9469.3,8658.7,7637.9,6505.6,5510.4,4701.4,4083.8
广东省,25186.9,22410.7,19349.9,16418.4,13910.9,12108.8,10797.4
广西壮族自治区,4374.5,3968.6,3448.3,2986.6,2581.7,2229.5,1925.0
海南省,1158.6,1030.5,830.1,743.1,640.3,568.8,517.1
重庆市,5370.9,4746.2,4087.7,3464.8,2895.7,2449.5,2130.0
四川省,10843.3,9867.1,7970.6,6674.5,5825.8,5510.1,5124.1
贵州省,4284.1,3790.3,3175.6,2533.7,2289.0,1989.3,1728.9
云南省,5175.2,4697.9,4208.5,3496.8,3000.6,2629.4,2363.9
西藏自治区,549.6,484.1,445.4,389.4,360.5,315.6,284.8
陕西省,5301.9,4773.0,4071.0,3447.6,3014.3,2619.7,2383.2
甘肃省,2172.7,2017.1,1745.7,1575.0,1410.4,1237.3,1104.8
青海省,755.9,682.3,574.8,547.6,471.1,469.9,432.2
宁夏回族自治区,962.1,883.4,727.6,611.5,523.3,441.6,398.4
新疆维吾尔自治区,3591.5,3179.7,2615.3,2203.2,2084.0,1757.4,1506.7
数据来源：国家统计局
