数据库：分省年度数据
指标：农村居民人均可支配收入(元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,28928,26490,24240,22310,20569,18867,17101
天津市,24804,23065,21754,20076,18482,17014,15353
河北省,15373,14031,12881,11919,11051,10186,9188
山西省,12902,11750,10788,10082,9454,8809,7949
内蒙古自治区,15283,13803,12584,11609,10776,9976,8985
辽宁省,16108,14656,13747,12881,12057,11191,10161
吉林省,14936,13748,12950,12123,11326,10780,9781
黑龙江省,14982,13804,12665,11832,11095,10453,9369
上海市,33195,30375,27825,25520,23205,21192,19208
江苏省,22675,20845,19158,17606,16257,14958,13521
浙江省,29876,27302,24956,22866,21125,19373,17494
安徽省,15416,13996,12758,11720,10821,9916,8850
福建省,19568,17821,16335,14999,13793,12650,11405
江西省,15796,14460,13242,12138,11139,10117,9089
山东省,17775,16297,15118,13954,12930,11882,10687
河南省,15164,13831,12719,11697,10853,9966,8969
湖北省,16391,14978,13812,12725,11844,10849,9692
湖南省,15395,14093,12936,11930,10993,10060,9029
广东省,18818,17168,15780,14512,13360,12246,11068
广西壮族自治区,13676,12435,11325,10359,9467,8683,7793
海南省,15113,13989,12902,11843,10858,9913,8802
重庆市,15133,13781,12638,11549,10505,9490,8493
四川省,14670,13331,12227,11203,10247,9348,8381
贵州省,10756,9716,8869,8090,7387,6671,5898
云南省,11902,10768,9862,9020,8242,7456,6724
西藏自治区,12951,11450,10330,9094,8244,7359,6553
陕西省,12326,11213,10265,9396,8689,7932,7092
甘肃省,9629,8804,8076,7457,6936,6277,5589
青海省,11499,10393,9462,8664,7933,7283,6462
宁夏回族自治区,12858,11708,10738,9852,9119,8410,7599
新疆维吾尔自治区,13122,11975,11045,10183,9425,8724,7847
数据来源：国家统计局
