数据库：分省年度数据
指标：农村居民人均消费支出(元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,21881,20195,18810,17329,15811,14535,13564
天津市,17843,16863,16386,15912,14739,13739,12491
河北省,12372,11383,10536,9798,9023,8248,7377
山西省,9728,9172,8424,8029,7421,6992,6458
内蒙古自治区,13816,12661,12184,11463,10637,9972,9080
辽宁省,12030,11455,10787,9953,8873,7801,7032
吉林省,11457,10826,10279,9521,8783,8140,7523
黑龙江省,12495,11417,10524,9424,8391,7830,7192
上海市,22449,19965,18090,17071,16152,14820,13016
江苏省,17716,16567,15612,14428,12883,11820,10759
浙江省,21352,19707,18093,17359,16108,14498,12803
安徽省,14546,12748,11106,10287,8975,7981,7200
福建省,16281,14943,14003,12911,11961,11056,9986
江西省,12497,10885,9870,9128,8486,7548,6807
山东省,12309,11270,10342,9519,8748,7962,6877
河南省,11546,10392,9212,8587,7887,7277,6359
湖北省,15328,13946,11633,10938,9803,8681,7850
湖南省,13969,12721,11534,10630,9691,9025,7833
广东省,16949,15411,13200,12415,11103,10043,8938
广西壮族自治区,12045,10617,9437,8351,7582,6675,6035
海南省,12418,10956,9599,8921,8210,7029,6376
重庆市,13112,11977,10936,9954,8938,7983,6971
四川省,14056,12723,11397,10192,9251,8301,7365
贵州省,10222,9170,8299,7533,6645,5970,5291
云南省,10260,9123,8027,7331,6830,6030,5247
西藏自治区,8418,7452,6691,6070,5580,4822,4102
陕西省,10935,10071,9306,8568,7901,7252,6488
甘肃省,9694,9065,8030,7487,6830,6148,5654
青海省,11343,10352,9903,9222,8566,8235,7506
宁夏回族自治区,11465,10790,9982,9138,8415,7676,6740
新疆维吾尔自治区,10318,9421,8713,8277,7698,7365,7103
数据来源：国家统计局
