数据库：分省年度数据
指标：农村居民消费水平指数(上年=100)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,105.5,107.4,106.5,108.9,118.5
天津市,,,106.5,109.3,109.6,112.2,113.2
河北省,,,112.0,114.5,114.0,113.2,115.7
山西省,,,121.4,103.7,106.4,107.2,113.5
内蒙古自治区,,,106.9,107.2,105.4,108.6,113.7
辽宁省,,,106.9,107.8,113.8,115.7,117.6
吉林省,,,105.9,104.8,113.0,103.6,116.9
黑龙江省,,,108.8,108.5,106.8,116.3,111.8
上海市,,,107.6,101.4,100.7,108.3,110.3
江苏省,,,112.2,110.6,113.1,114.0,119.6
浙江省,,,104.8,108.8,111.0,110.8,110.6
安徽省,,,109.7,109.3,108.8,109.8,100.5
福建省,,,113.5,113.8,114.0,111.1,108.1
江西省,,,111.8,112.3,112.1,113.7,113.7
山东省,,,113.9,114.2,115.0,116.1,112.0
河南省,,,109.1,110.6,111.0,113.7,110.2
湖北省,,,113.2,111.7,109.2,111.7,112.7
湖南省,,,107.0,106.7,107.0,111.2,109.0
广东省,,,107.6,107.0,107.5,113.4,108.0
广西壮族自治区,,,113.4,109.1,110.9,112.4,105.4
海南省,,,110.2,112.3,116.9,115.7,115.1
重庆市,,,110.9,111.5,113.0,113.7,114.9
四川省,,,110.9,110.2,111.0,110.0,111.4
贵州省,,,111.9,112.0,110.1,111.9,118.7
云南省,,,108.3,106.7,108.6,114.8,105.2
西藏自治区,,,109.7,107.1,117.3,112.8,122.4
陕西省,,,109.8,109.4,108.1,111.4,113.1
甘肃省,,,109.2,106.4,109.0,107.3,108.1
青海省,,,111.6,113.6,108.0,113.2,109.7
宁夏回族自治区,,,118.5,109.6,120.0,117.7,116.1
新疆维吾尔自治区,,,106.6,113.2,108.8,113.5,102.1
数据来源：国家统计局
