数据库：分省年度数据
指标：农村居民消费水平(元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,26132,24285,22315,20506,17663
天津市,,,23952,22194,19922,16949,14954
河北省,,,10149,8897,7666,7023,6460
山西省,,,11284,9226,8809,7692,7476
内蒙古自治区,,,14184,13013,11814,11070,8218
辽宁省,,,13528,12145,13707,12178,10417
吉林省,,,9244,8390,8837,7810,7773
黑龙江省,,,11352,10305,9238,8594,7478
上海市,,,25622,23660,23005,22803,20221
江苏省,,,26755,23459,20428,17780,14571
浙江省,,,23717,22028,19953,17281,15458
安徽省,,,9610,8565,7674,6994,6114
福建省,,,17885,15653,13631,11908,10147
江西省,,,12009,11320,9432,7429,7429
山东省,,,18530,15970,12651,11215,9224
河南省,,,10294,9291,8271,7439,6438
湖北省,,,12432,10860,9542,8608,7755
湖南省,,,11504,10461,9785,7908,7005
广东省,,,15943,14784,13344,12674,9914
广西壮族自治区,,,9371,8225,7439,6644,5795
海南省,,,11848,10512,9124,8371,7072
重庆市,,,10527,9433,8337,7577,6604
四川省,,,12856,11094,10039,9092,8074
贵州省,,,9879,8887,7866,6620,5383
云南省,,,9123,8336,7820,7116,6003
西藏自治区,,,6676,5952,5412,4498,3874
陕西省,,,9819,8768,7944,7552,6620
甘肃省,,,7395,6781,6255,5661,5245
青海省,,,11868,10505,9109,8007,6954
宁夏回族自治区,,,11956,9980,9050,8454,7062
新疆维吾尔自治区,,,9573,8816,7694,6859,5942
数据来源：国家统计局
