数据库：分省年度数据
指标：农村居民消费(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,767.5,712.3,653.2,597.0,508.1
天津市,,,637.6,593.9,535.2,452.2,392.9
河北省,,,3486.2,3158.8,2819.4,2649.6,2481.1
山西省,,,1800.7,1503.7,1468.1,1339.0,1301.4
内蒙古自治区,,,1374.8,1285.0,1188.0,1132.2,856.1
辽宁省,,,1927.0,1736.4,1972.3,1777.9,1552.4
吉林省,,,1089.0,1033.9,1093.3,977.8,984.7
黑龙江省,,,1753.0,1608.0,1487.3,1393.5,1228.8
上海市,,,756.2,700.7,634.7,574.0,511.5
江苏省,,,6809.7,6160.8,5556.1,4995.1,4210.4
浙江省,,,4334.2,4118.2,3820.2,3382.0,3087.6
安徽省,,,2827.1,2576.1,2353.8,2181.2,1940.6
福建省,,,2491.4,2227.4,1969.7,1747.5,1519.6
江西省,,,2553.2,2469.4,2108.1,1737.1,1737.1
山东省,,,7431.1,6634.9,5463.7,4994.2,4200.8
河南省,,,4978.1,4621.0,4222.1,3891.0,3446.0
湖北省,,,3026.0,2709.9,2434.7,2292.1,2064.7
湖南省,,,3644.9,3428.3,3301.4,2727.8,2459.9
广东省,,,5384.9,5013.6,4554.5,4349.3,3436.5
广西壮族自治区,,,2325.0,2076.8,1888.8,1718.1,1520.6
海南省,,,464.9,423.2,377.1,348.1,298.0
重庆市,,,1181.3,1093.4,994.8,926.5,826.9
四川省,,,5323.1,4708.0,4348.2,4018.1,3599.6
贵州省,,,1935.2,1791.7,1632.7,1417.4,1182.1
云南省,,,2334.8,2213.1,2101.3,1969.9,1685.9
西藏自治区,,,155.5,138.6,126.7,106.1,92.2
陕西省,,,1649.6,1512.5,1405.4,1368.5,1227.3
甘肃省,,,1054.3,990.2,934.5,865.2,819.4
青海省,,,337.0,304.4,266.7,236.4,208.2
宁夏回族自治区,,,347.6,296.4,274.1,262.4,223.6
新疆维吾尔自治区,,,1185.2,1094.9,955.9,856.3,745.2
数据来源：国家统计局
