数据库：分省年度数据
指标：农林牧渔业增加值(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,116.9,122.6,124.3,132.2,142.8,161.5,162.0
天津市,191.8,181.0,174.0,174.6,167.3,163.1,158.5
河北省,3727.5,3522.3,3298.3,3235.1,3240.3,3294.3,3260.8
山西省,875.5,788.4,764.1,766.8,767.1,775.9,733.1
内蒙古自治区,1893.5,1779.8,1677.7,1677.0,1655.3,1661.9,1605.3
辽宁省,2266.9,2109.6,2000.4,1945.8,2158.0,2104.8,2067.4
吉林省,1333.4,1205.0,1137.7,1171.1,1309.1,1308.2,1286.6
黑龙江省,3268.2,3080.2,3036.9,2817.7,2770.7,2742.6,2584.8
上海市,113.3,112.4,115.1,118.3,129.7,136.3,136.0
江苏省,4611.9,4431.4,4314.5,4286.1,4175.9,3808.2,3623.7
浙江省,2135.9,2019.3,1972.8,1925.5,1803.8,1756.0,1745.7
安徽省,3069.2,2776.0,2707.3,2603.8,2467.3,2380.3,2250.3
福建省,2691.1,2464.3,2294.4,2221.0,2003.2,1920.7,1805.2
江西省,2135.8,1947.9,1898.5,1851.9,1773.9,1682.3,1591.7
山东省,5477.1,5273.9,5114.7,5072.3,5110.8,4857.3,4630.8
河南省,4860.7,4501.2,4310.6,4217.4,4154.4,4089.9,3913.5
湖北省,4014.3,3734.3,3690.3,3527.9,3210.9,3080.6,2951.6
湖南省,3850.5,3266.5,3165.3,3063.1,2878.9,2793.1,2702.1
广东省,4478.3,3948.9,3712.7,3593.6,3275.1,3118.4,2950.0
广西壮族自治区,3493.9,3116.4,2964.7,2877.0,2633.0,2473.9,2343.6
海南省,1118.0,1020.2,993.3,951.6,859.3,814.7,742.7
重庆市,1581.3,1405.4,1300.3,1258.4,1086.2,1006.4,955.3
四川省,4938.0,4544.3,4365.3,3991.9,3745.5,3598.7,3323.6
贵州省,2408.0,2273.0,2140.0,1959.9,1714.0,1317.2,1032.6
云南省,3096.2,2552.6,2388.6,2272.6,2121.8,2045.4,1912.8
西藏自治区,142.1,132.2,121.5,113.6,96.2,90.4,83.4
陕西省,2098.2,1927.8,1830.6,1778.9,1675.6,1637.8,1528.6
甘肃省,1097.2,962.3,896.0,834.5,780.7,739.7,698.3
青海省,306.0,272.0,242.0,224.7,212.2,219.0,207.6
宁夏回族自治区,297.7,296.1,266.3,255.7,250.7,229.6,222.2
新疆维吾尔自治区,1888.4,1791.0,1640.3,1554.0,1479.8,1466.6,1378.8
数据来源：国家统计局
