数据库：分省年度数据
指标：劳动者报酬(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,16141.0,14518.9,13435.5,11679.6,10703.8
天津市,,,5093.6,4578.2,4315.4,4184.7,3904.5
河北省,,,14860.0,13868.2,12993.3,12396.4,11896.0
山西省,,,7287.8,6236.8,6135.4,6088.4,6102.7
内蒙古自治区,,,7376.8,7015.9,6654.3,6182.8,5725.0
辽宁省,,,11486.2,10773.4,10645.2,10532.8,10021.7
吉林省,,,5067.5,4836.3,4683.3,4400.4,4351.3
黑龙江省,,,7178.1,6847.8,6554.0,6248.2,5799.0
上海市,,,14997.1,13213.2,11818.2,10975.2,9852.6
江苏省,,,39574.8,35490.6,32791.0,29160.5,26353.9
浙江省,,,25026.5,22669.9,21027.3,18611.9,17848.2
安徽省,,,15169.3,13434.2,12192.8,11280.0,10335.0
福建省,,,18497.5,16300.1,14606.7,13084.0,11663.1
江西省,,,8802.8,8021.9,7243.1,6525.4,6368.4
山东省,,,29879.5,26516.7,24929.6,21273.3,19205.1
河南省,,,24310.0,21735.4,20021.0,18586.9,16929.2
湖北省,,,19941.9,17812.3,16182.6,15031.8,13483.2
湖南省,,,16929.8,15330.5,14241.2,13070.0,11680.2
广东省,,,45801.8,40626.1,36848.2,32662.5,29956.4
广西壮族自治区,,,10245.1,9367.9,8449.3,7607.1,6493.9
海南省,,,2346.2,2142.2,1927.5,1771.7,1608.0
重庆市,,,10014.3,8925.0,7873.1,7049.3,6239.5
四川省,,,18513.4,16066.6,14574.8,13593.9,12464.0
贵州省,,,7759.6,6772.2,6079.7,5195.6,4399.9
云南省,,,10051.9,8775.9,7864.2,7208.4,6568.0
西藏自治区,,,841.5,729.6,650.4,580.4,520.4
陕西省,,,9454.3,8711.0,7921.7,7440.9,6844.5
甘肃省,,,3759.8,3548.0,3311.5,3188.6,2969.3
青海省,,,1251.9,1159.7,1017.0,995.5,904.3
宁夏回族自治区,,,1728.3,1516.7,1407.2,1309.0,1223.3
新疆维吾尔自治区,,,6340.9,5605.0,5346.3,4931.2,4357.5
注：按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年以前年度的地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
