数据库：分省年度数据
指标：固定资产折旧(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,3911.5,3526.5,3454.9,3099.8,2972.1
天津市,,,2218.4,1715.3,1584.7,1544.5,1437.7
河北省,,,5306.2,4705.1,4343.3,3944.1,3674.5
山西省,,,2301.8,1959.9,1986.6,2018.4,1758.4
内蒙古自治区,,,2280.8,2141.2,1671.4,1591.9,1396.4
辽宁省,,,3144.9,2946.0,2862.6,2870.7,2677.2
吉林省,,,1961.1,1817.6,1771.5,1600.4,1599.8
黑龙江省,,,1829.3,1799.9,1719.3,1651.9,1448.8
上海市,,,3923.6,3724.1,3410.4,3220.7,3076.8
江苏省,,,11524.9,10361.0,9192.8,8521.8,7736.6
浙江省,,,6803.8,6231.8,6030.0,5290.4,4813.3
安徽省,,,3680.7,3215.0,2811.6,2656.9,2312.8
福建省,,,3365.7,3165.7,2990.7,2619.7,2340.4
江西省,,,2734.2,2481.5,2304.2,2239.0,1927.9
山东省,,,8958.8,8892.7,8321.6,7413.6,6820.5
河南省,,,6431.6,5744.6,5185.9,4779.1,4204.5
湖北省,,,5527.7,4856.0,4344.2,4010.5,3441.6
湖南省,,,3906.3,3548.8,3280.1,2860.7,2724.9
广东省,,,11658.9,11141.5,10391.6,9310.1,7953.3
广西壮族自治区,,,2099.4,1872.8,1822.2,1587.4,1447.4
海南省,,,665.3,594.7,544.7,500.3,445.1
重庆市,,,2806.4,2554.5,2384.6,2030.9,1799.5
四川省,,,4903.4,4175.7,3721.0,3595.2,3180.5
贵州省,,,1572.3,1314.4,1173.8,1047.6,928.5
云南省,,,2433.8,2122.2,1939.7,1812.3,1602.9
西藏自治区,,,134.2,120.0,108.1,97.8,83.3
陕西省,,,3457.9,3114.7,2938.5,2464.4,2025.9
甘肃省,,,1186.6,1197.8,1078.7,1131.7,1035.5
青海省,,,573.7,581.5,469.1,420.3,331.4
宁夏回族自治区,,,448.3,384.1,352.2,346.8,312.3
新疆维吾尔自治区,,,1758.9,1652.9,1606.8,1462.3,1304.2
注：按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年以前年度的地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
