数据库：分省年度数据
指标：固定资本形成总额(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,10375.3,9716.1,8155.4,7957.2,7595.4
天津市,,,10137.5,10113.9,10495.8,11338.0,10438.8
河北省,,,19035.4,18595.7,17298.8,17064.7,16167.1
山西省,,,6700.1,8369.4,8821.6,8818.5,8693.5
内蒙古自治区,,,10391.9,12489.5,13844.4,13453.9,15287.1
辽宁省,,,9639.0,9171.7,12098.9,16927.4,16479.8
吉林省,,,10013.9,10185.7,11001.2,10372.7,9751.5
黑龙江省,,,9651.4,9151.4,9664.1,9288.0,9153.5
上海市,,,11507.2,10631.4,8999.9,8022.5,7617.1
江苏省,,,36416.8,32254.6,29940.8,28796.2,27711.1
浙江省,,,21861.5,20677.8,18213.3,17000.9,16139.7
安徽省,,,13569.2,12345.1,11106.5,10723.8,9739.1
福建省,,,17637.9,15576.1,14140.3,13038.0,11678.6
江西省,,,9738.4,9029.5,7706.0,6876.9,6774.2
山东省,,,34704.0,33548.7,33229.4,31647.1,29249.5
河南省,,,30415.3,29595.1,27722.5,26655.8,24376.0
湖北省,,,20586.5,18515.8,16757.4,15442.9,13701.9
湖南省,,,17159.5,16477.4,15085.0,15139.7,13573.9
广东省,,,38390.9,33279.7,29250.4,27930.8,24997.7
广西壮族自治区,,,9034.5,12114.1,11264.7,10463.1,9725.6
海南省,,,2808.5,2519.1,2325.1,2549.3,2233.5
重庆市,,,9907.3,9114.9,8042.5,7380.9,6646.8
四川省,,,17689.3,15800.5,14415.3,13990.6,13081.7
贵州省,,,9085.8,7975.5,6913.9,5928.8,5141.8
云南省,,,14825.5,13321.1,12080.1,10918.8,9311.1
西藏自治区,,,1372.9,1151.9,1027.0,1050.9,898.4
陕西省,,,14144.1,12584.8,11662.8,11783.7,10779.5
甘肃省,,,3557.1,4894.0,4412.3,4116.7,3649.1
青海省,,,3918.3,3551.9,3303.6,2953.5,2418.3
宁夏回族自治区,,,3835.7,3757.1,3516.9,2987.7,2223.0
新疆维吾尔自治区,,,10695.3,8655.1,8755.7,8301.4,6943.7
数据来源：国家统计局
