数据库：分省年度数据
指标：地区生产总值指数(上年=100)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,106.1,106.7,106.8,106.9,106.9,107.4,107.7
天津市,104.8,103.4,103.4,106.0,106.9,107.5,110.1
河北省,106.7,106.5,106.6,106.7,106.8,106.5,108.2
山西省,106.1,106.6,106.8,104.1,103.0,104.9,109.0
内蒙古自治区,105.2,105.2,104.0,107.0,107.7,107.8,108.7
辽宁省,105.4,105.6,104.2,100.5,102.8,105.7,108.7
吉林省,103.0,104.4,105.2,106.5,106.1,106.3,108.5
黑龙江省,104.0,104.5,106.0,104.4,105.4,105.3,107.6
上海市,106.0,106.8,107.0,106.9,107.0,107.1,107.9
江苏省,105.9,106.7,107.2,107.8,108.6,108.6,109.7
浙江省,106.8,107.1,107.8,107.5,108.0,107.7,108.3
安徽省,107.3,108.0,108.6,108.8,108.7,109.2,110.3
福建省,107.5,108.3,108.1,108.4,108.9,109.9,111.0
江西省,107.9,108.7,108.8,109.0,109.1,109.7,110.1
山东省,105.3,106.3,107.3,107.4,107.8,108.5,109.4
河南省,106.8,107.6,107.8,108.2,108.4,108.9,109.0
湖北省,107.3,107.8,107.8,108.1,108.6,109.7,110.2
湖南省,107.6,107.8,108.0,108.0,108.5,109.5,110.1
广东省,106.2,106.8,107.5,107.5,108.0,107.8,108.5
广西壮族自治区,106.0,106.8,107.1,107.0,107.9,108.3,110.0
海南省,105.8,105.8,107.0,107.5,107.8,108.6,109.6
重庆市,106.3,106.0,109.3,110.7,111.0,110.9,112.3
四川省,107.4,108.0,108.1,107.8,107.9,108.5,110.0
贵州省,108.3,109.1,110.2,110.5,110.7,110.8,112.4
云南省,108.1,108.9,109.5,108.7,108.7,108.1,112.2
西藏自治区,108.1,108.9,110.0,110.1,111.0,110.8,112.1
陕西省,106.0,108.1,107.8,107.5,107.7,109.6,110.5
甘肃省,106.2,106.1,103.5,107.6,108.2,109.0,111.3
青海省,106.1,107.1,107.2,107.8,108.2,109.2,110.8
宁夏回族自治区,106.5,106.8,107.3,107.4,108.0,108.0,109.8
新疆维吾尔自治区,106.2,106.1,107.6,107.5,108.8,110.0,111.0
数据来源：国家统计局
