数据库：分省年度数据
指标：地方财政一般预算支出(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,7408.19,7471.43,6824.53,6406.77,5737.70,4524.67,4173.66
天津市,3555.71,3103.16,3282.54,3699.43,3232.35,2884.70,2549.21
河北省,8309.04,7726.21,6639.18,6049.53,5632.19,4677.30,4409.58
山西省,4710.76,4283.91,3756.42,3428.86,3422.97,3085.28,3030.13
内蒙古自治区,5100.91,4831.46,4529.93,4512.71,4252.96,3879.98,3686.52
辽宁省,5745.09,5337.72,4879.42,4577.47,4481.61,5080.49,5197.42
吉林省,3933.42,3789.59,3725.72,3586.09,3217.10,2913.25,2744.81
黑龙江省,5011.56,4676.75,4641.08,4227.34,4020.66,3434.22,3369.18
上海市,8179.28,8351.54,7547.62,6918.94,6191.56,4923.44,4528.61
江苏省,12573.55,11657.35,10621.03,9981.96,9687.58,8472.45,7798.47
浙江省,10053.03,8629.53,7530.32,6974.26,6645.98,5159.57,4730.47
安徽省,7392.22,6572.15,6203.81,5522.95,5239.01,4664.10,4349.69
福建省,5077.93,4832.69,4684.15,4275.40,4001.58,3306.70,3068.80
江西省,6386.80,5667.52,5111.47,4617.40,4412.55,3882.70,3470.30
山东省,10739.76,10100.96,9258.40,8755.21,8250.01,7177.31,6688.80
河南省,10163.93,9217.73,8215.52,7453.74,6799.35,6028.69,5582.31
湖北省,7970.21,7258.27,6801.26,6422.98,6132.84,4934.15,4371.65
湖南省,8034.42,7479.61,6869.39,6339.16,5728.72,5017.38,4690.89
广东省,17297.85,15729.26,15037.48,13446.09,12827.80,9152.64,8411.00
广西壮族自治区,5850.96,5310.74,4908.55,4441.70,4065.51,3479.79,3208.67
海南省,1858.60,1691.30,1443.97,1376.48,1239.43,1099.74,1011.17
重庆市,4847.68,4540.95,4336.28,4001.81,3792.00,3304.39,3062.28
四川省,10348.17,9707.50,8694.76,8008.89,7497.51,6796.61,6220.91
贵州省,5948.74,5029.68,4612.52,4262.36,3939.50,3542.80,3082.66
云南省,6770.09,6075.03,5712.97,5018.86,4712.83,4437.98,4096.51
西藏自治区,2187.75,1970.68,1681.94,1587.98,1381.46,1185.51,1014.31
陕西省,5718.52,5302.44,4833.19,4389.37,4376.06,3962.50,3665.07
甘肃省,3951.60,3772.23,3304.44,3150.03,2958.31,2541.49,2309.62
青海省,1863.67,1647.43,1530.44,1524.80,1515.16,1347.43,1228.05
宁夏回族自治区,1438.29,1419.06,1372.78,1254.54,1138.49,1000.45,922.48
新疆维吾尔自治区,5315.49,5012.45,4637.24,4138.25,3804.87,3317.79,3067.12
注：地方财政支出均为本级支出，2000年以前不包括国内外债务还本付息支出和利用国外借款收入安排的基本建设支出。
数据来源：国家统计局
