数据库：分省年度数据
指标：地方财政公共安全支出(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,540.62,516.42,467.99,358.79,319.75,279.78,255.82
天津市,213.26,236.53,207.42,177.40,157.87,139.31,126.18
河北省,432.48,422.48,367.55,336.57,287.08,248.29,243.05
山西省,252.28,248.25,216.00,203.52,173.79,160.80,156.09
内蒙古自治区,249.06,247.45,250.09,222.17,188.37,180.45,175.77
辽宁省,390.05,354.49,301.66,297.15,256.72,235.67,244.57
吉林省,222.21,218.48,212.44,205.08,168.87,154.63,147.77
黑龙江省,253.86,247.22,223.39,210.30,180.94,170.77,173.35
上海市,413.34,412.13,356.12,337.17,269.20,250.91,226.51
江苏省,853.13,826.08,717.07,634.76,519.92,473.83,452.99
浙江省,662.70,614.24,548.44,518.58,423.55,370.69,347.78
安徽省,296.76,288.04,258.39,221.17,196.06,179.60,163.78
福建省,332.86,338.81,330.02,257.32,225.24,191.63,189.44
江西省,315.65,300.60,255.74,229.14,195.44,175.96,162.92
山东省,633.21,644.95,566.05,521.52,425.75,380.57,341.83
河南省,496.79,460.18,417.11,358.41,301.12,274.12,261.22
湖北省,452.92,428.99,397.54,352.73,295.24,259.05,227.04
湖南省,415.57,419.18,371.77,333.45,271.54,246.11,231.08
广东省,1426.89,1355.53,1214.04,1066.08,834.54,697.23,650.31
广西壮族自治区,312.18,313.38,283.17,263.28,220.55,192.22,178.81
海南省,105.32,97.45,85.72,85.09,77.14,67.71,65.10
重庆市,268.66,259.31,235.91,226.17,203.29,159.56,141.22
四川省,525.64,528.35,471.42,429.39,369.74,319.19,323.49
贵州省,280.06,282.70,268.09,249.96,215.95,187.97,168.22
云南省,382.83,386.41,343.26,293.61,242.54,219.66,214.22
西藏自治区,133.43,109.45,102.71,95.66,103.23,69.36,71.65
陕西省,285.90,269.46,241.82,215.79,187.07,161.43,156.89
甘肃省,191.29,190.85,170.38,156.52,123.10,107.42,102.12
青海省,89.57,87.19,90.04,70.98,59.02,55.63,46.79
宁夏回族自治区,66.74,68.40,64.59,61.43,51.23,47.64,46.50
新疆维吾尔自治区,567.23,566.96,576.39,300.88,251.95,222.28,197.22
数据来源：国家统计局
