数据库：分省年度数据
指标：地方财政一般预算收入(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,5817.10,5785.92,5430.79,5081.26,4723.86,4027.16,3661.11
天津市,2410.41,2106.24,2310.36,2723.50,2667.11,2390.35,2079.07
河北省,3738.99,3513.86,3233.83,2849.87,2649.18,2446.62,2295.62
山西省,2347.75,2292.70,1867.00,1557.00,1642.35,1820.64,1701.62
内蒙古自治区,2059.69,1857.65,1703.21,2016.43,1964.48,1843.67,1720.98
辽宁省,2652.40,2616.08,2392.77,2200.49,2127.39,3192.78,3343.81
吉林省,1116.95,1240.89,1210.91,1263.78,1229.35,1203.38,1156.96
黑龙江省,1262.76,1282.60,1243.31,1148.41,1165.88,1301.31,1277.40
上海市,7165.10,7108.15,6642.26,6406.13,5519.50,4585.55,4109.51
江苏省,8802.36,8630.16,8171.53,8121.23,8028.59,7233.14,6568.46
浙江省,7048.58,6598.21,5804.38,5301.98,4809.94,4122.02,3796.92
安徽省,3182.71,3048.67,2812.45,2672.79,2454.30,2218.44,2075.08
福建省,3052.93,3007.41,2809.03,2654.83,2544.24,2362.21,2119.45
江西省,2487.39,2373.01,2247.06,2151.47,2165.74,1881.83,1621.24
山东省,6526.71,6485.40,6098.63,5860.18,5529.33,5026.83,4559.95
河南省,4041.89,3766.02,3407.22,3153.47,3016.05,2739.26,2415.45
湖北省,3388.57,3307.08,3248.32,3102.06,3005.53,2566.90,2191.22
湖南省,3007.15,2860.84,2757.82,2697.88,2515.43,2262.79,2030.88
广东省,12654.53,12105.26,11320.35,10390.35,9366.78,8065.08,7081.47
广西壮族自治区,1811.89,1681.45,1615.13,1556.27,1515.16,1422.28,1317.60
海南省,814.14,752.67,674.11,637.51,627.70,555.31,481.01
重庆市,2134.93,2265.54,2252.38,2227.91,2154.83,1922.02,1693.24
四川省,4070.83,3911.01,3577.99,3388.85,3355.44,3061.07,2784.10
贵州省,1767.47,1726.85,1613.84,1561.34,1503.38,1366.67,1206.41
云南省,2073.56,1994.35,1886.17,1812.29,1808.10,1698.06,1611.30
西藏自治区,221.99,230.35,185.83,155.99,137.13,124.27,95.02
陕西省,2287.90,2243.14,2006.69,1833.99,2059.95,1890.40,1748.33
甘肃省,850.49,871.05,815.73,786.97,743.86,672.67,607.27
青海省,282.25,272.89,246.20,238.51,267.13,251.68,223.86
宁夏回族自治区,423.58,436.52,417.59,387.66,373.40,339.86,308.34
新疆维吾尔自治区,1577.63,1531.42,1466.52,1298.95,1330.90,1282.34,1128.49
注：地方财政收入均为本级收入，不包括国内外债务收入。
数据来源：国家统计局
