数据库：分省年度数据
指标：城镇居民人均可支配收入(元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,73849,67990,62406,57275,52859,48532,44564
天津市,46119,42976,40278,37110,34101,31506,28980
河北省,35738,32977,30548,28249,26152,24141,22227
山西省,33262,31035,29132,27352,25828,24069,22258
内蒙古自治区,40782,38305,35670,32975,30594,28350,26004
辽宁省,39777,37342,34993,32876,31126,29082,26697
吉林省,32299,30172,28319,26530,24901,23218,21331
黑龙江省,30945,29191,27446,25736,24203,22609,20848
上海市,73615,68034,62596,57692,52962,48841,44878
江苏省,51056,47200,43622,40152,37173,34346,31585
浙江省,60182,55574,51261,47237,43714,40393,37080
安徽省,37540,34393,31640,29156,26936,24839,22789
福建省,45620,42121,39001,36014,33275,30722,28174
江西省,36546,33819,31198,28673,26500,24309,22120
山东省,42329,39549,36789,34012,31545,29222,26882
河南省,34201,31874,29558,27233,25576,23672,21741
湖北省,37601,34455,31889,29386,27051,24852,22668
湖南省,39842,36698,33948,31284,28838,26570,24352
广东省,48118,44341,40975,37684,34757,32148,29537
广西壮族自治区,34745,32436,30502,28324,26416,24669,22689
海南省,36017,33349,30817,28453,26356,24487,22411
重庆市,37939,34889,32193,29610,27239,25147,23058
四川省,36154,33216,30727,28335,26205,24234,22228
贵州省,34404,31592,29080,26743,24580,22548,20565
云南省,36238,33488,30996,28611,26373,24299,22460
西藏自治区,37410,33797,30671,27802,25457,22016,20394
陕西省,36098,33319,30810,28440,26420,24366,22346
甘肃省,32323,29957,27763,25693,23767,21804,19873
青海省,33830,31515,29169,26757,24542,22307,20352
宁夏回族自治区,34328,31895,29472,27153,25186,23285,21476
新疆维吾尔自治区,34664,32764,30775,28463,26275,23214,21091
数据来源：国家统计局
