数据库：分省年度数据
指标：城镇居民人均消费支出(元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,46358,42926,40346,38256,36642,33717,31632
天津市,34811,32655,30284,28345,26230,24290,22306
河北省,23483,22127,20600,19106,17587,16204,14970
山西省,21159,19790,18404,16993,15819,14637,13763
内蒙古自治区,25383,24437,23638,22744,21876,20885,19244
辽宁省,27355,26448,25379,24996,21557,20520,19318
吉林省,23394,22394,20051,19166,17973,17156,15941
黑龙江省,22165,21035,19270,18145,17152,16467,15704
上海市,48272,46015,42304,39857,36946,35182,32447
江苏省,31329,29462,27726,26433,24966,23476,22262
浙江省,37508,34598,31924,30068,28661,27242,25254
安徽省,23782,21523,20740,19606,17234,16107,14594
福建省,30946,28145,25980,25006,23520,22204,20565
江西省,22714,20760,19244,17696,16732,15142,13843
山东省,26731,24798,23072,21495,19854,18323,16646
河南省,21972,20989,19422,18088,17154,16184,15249
湖北省,26422,23996,21276,20040,18192,16681,15334
湖南省,26924,25064,23163,21420,19501,18335,16867
广东省,34424,30924,30198,28613,25673,23612,21621
广西壮族自治区,21591,20159,18349,17268,16321,15045,14470
海南省,25317,22971,20372,19015,18448,17514,15833
重庆市,25785,24154,22759,21031,19742,18279,17124
四川省,25367,23484,21991,20660,19277,17760,16098
贵州省,21402,20788,20348,19202,16914,15255,13768
云南省,23455,21626,19560,18622,17675,16268,14862
西藏自治区,25637,23029,21088,19440,17022,15669,13679
陕西省,23514,21966,20388,19369,18464,17546,16399
甘肃省,24454,22606,20659,19539,17451,15942,14411
青海省,23799,22998,21473,20853,19201,17493,16223
宁夏回族自治区,24161,21977,20219,20364,18984,17216,15807
新疆维吾尔自治区,25594,24191,22797,21229,19415,17685,16858
数据来源：国家统计局
