数据库：分省年度数据
指标：城镇居民消费水平指数(上年=100)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,105.8,106.1,106.6,104.3,105.7
天津市,,,106.3,106.4,105.7,106.1,105.6
河北省,,,106.6,106.8,105.9,106.2,107.0
山西省,,,116.5,102.5,112.1,102.4,107.5
内蒙古自治区,,,102.7,104.2,103.6,107.8,107.7
辽宁省,,,102.6,110.4,107.1,106.6,106.7
吉林省,,,105.6,102.6,105.2,105.6,110.6
黑龙江省,,,106.6,104.2,106.5,115.4,108.5
上海市,,,107.2,107.6,107.4,107.3,107.0
江苏省,,,107.7,107.7,108.5,110.4,114.7
浙江省,,,107.3,103.7,103.9,105.7,105.8
安徽省,,,105.6,105.8,104.8,104.1,102.1
福建省,,,107.3,109.3,106.5,105.9,105.4
江西省,,,105.2,105.8,106.7,106.3,106.3
山东省,,,105.2,104.6,105.2,106.6,107.7
河南省,,,106.8,105.9,108.0,104.2,106.7
湖北省,,,107.0,107.7,106.5,108.8,108.2
湖南省,,,106.2,106.5,105.8,106.6,105.6
广东省,,,104.3,104.9,106.2,106.9,105.5
广西壮族自治区,,,102.4,103.7,104.4,103.8,107.9
海南省,,,107.7,103.1,104.5,104.8,103.7
重庆市,,,106.4,107.9,108.5,108.8,109.4
四川省,,,105.8,104.2,104.7,106.6,105.4
贵州省,,,109.4,109.6,106.7,110.2,106.7
云南省,,,102.5,104.3,109.4,102.3,111.8
西藏自治区,,,108.0,104.1,109.1,103.6,108.7
陕西省,,,105.9,104.9,104.2,107.9,106.6
甘肃省,,,104.7,107.3,107.1,109.6,113.3
青海省,,,102.9,106.3,112.0,106.7,111.1
宁夏回族自治区,,,103.3,104.9,108.2,107.7,105.0
新疆维吾尔自治区,,,106.7,107.6,106.2,102.8,106.1
数据来源：国家统计局
