数据库：分省年度数据
指标：城镇居民消费水平(元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,57100,52721,41846,38515,35836
天津市,,,42067,39181,35290,31000,28779
河北省,,,20753,19276,17924,17589,17198
山西省,,,23345,19724,19018,17189,16341
内蒙古自治区,,,29971,28289,26872,25885,23590
辽宁省,,,30342,29254,28567,27282,25161
吉林省,,,19552,18144,19358,18549,18714
黑龙江省,,,24012,22318,21660,20068,17102
上海市,,,57507,53240,48750,45352,41464
江苏省,,,45865,41957,37515,34074,28753
浙江省,,,38730,35152,33359,32186,30101
安徽省,,,23888,22030,20251,19259,17779
福建省,,,30474,27859,25202,23642,21725
江西省,,,21815,20335,19362,16914,16728
山东省,,,34955,33016,26993,25869,23358
河南省,,,25593,23454,21821,20111,18833
湖北省,,,28121,25703,23561,21854,19156
湖南省,,,26244,24025,22770,21227,19508
广东省,,,37257,34667,32393,30216,30440
广西壮族自治区,,,22970,22491,21076,20518,19185
海南省,,,27683,24664,23626,16823,15877
重庆市,,,30101,28209,25795,24000,21898
四川省,,,22983,21246,20114,19318,17899
贵州省,,,24230,22301,20082,18804,16581
云南省,,,23490,22365,20699,19569,19089
西藏自治区,,,20643,18775,17466,15009,14001
陕西省,,,25276,23206,21877,21531,19620
甘肃省,,,22344,21128,19480,17925,16327
青海省,,,23621,22761,21217,19252,17617
宁夏回族自治区,,,27887,25384,24041,21212,19671
新疆维吾尔自治区,,,24230,22272,20532,19176,18285
数据来源：国家统计局
