数据库：分省年度数据
指标：城镇居民消费(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,10724.0,9909.4,7818.2,7094.6,6466.3
天津市,,,5440.5,5042.4,4457.9,3805.9,3395.8
河北省,,,8425.2,7512.0,6679.8,6306.3,5967.0
山西省,,,4893.7,4029.5,3783.3,3230.6,3071.3
内蒙古自治区,,,4660.9,4323.0,4037.3,3827.1,3425.1
辽宁省,,,8947.9,8631.2,8421.6,7995.7,7295.0
吉林省,,,3009.8,2768.6,2934.1,2782.1,2777.3
黑龙江省,,,5402.1,5011.1,4817.1,4439.9,3747.8
上海市,,,12214.0,11294.1,10454.9,9835.4,8893.5
江苏省,,,25082.7,22494.0,19689.1,17515.5,14491.7
浙江省,,,14702.1,12988.5,12038.6,11412.8,10505.6
安徽省,,,7843.3,6965.5,6168.6,5658.0,5040.8
福建省,,,7617.0,6779.4,5991.8,5490.9,4917.4
江西省,,,5412.5,4875.5,4490.0,3678.5,3638.1
山东省,,,20854.3,18958.5,14844.7,13732.4,12040.6
河南省,,,12051.6,10629.9,9498.9,8434.6,7640.7
湖北省,,,9728.5,8669.3,7733.1,6832.4,5989.1
湖南省,,,9639.0,8469.4,7710.1,6929.3,6150.8
广东省,,,28712.2,26113.9,23884.1,21913.9,21772.0
广西壮族自治区,,,5522.1,5155.0,4756.8,4413.5,3983.8
海南省,,,1464.5,1261.3,1166.8,813.4,745.4
重庆市,,,5838.4,5284.7,4670.6,4218.9,3734.6
四川省,,,9518.1,8475.4,7725.2,7156.1,6502.9
贵州省,,,3897.4,3403.5,2898.2,2564.8,2150.6
云南省,,,5265.0,4699.7,4252.9,3781.0,3558.7
西藏自治区,,,215.0,183.5,157.0,122.7,103.6
陕西省,,,5419.1,4822.2,4408.1,4215.8,3735.6
甘肃省,,,2664.0,2418.3,2145.4,1896.6,1661.3
青海省,,,736.9,685.5,622.1,549.4,486.4
宁夏回族自治区,,,1080.9,950.4,869.8,737.1,657.3
新疆维吾尔自治区,,,2867.2,2532.4,2231.2,1980.7,1818.4
数据来源：国家统计局
