数据库：分省年度数据
指标：城镇登记失业人数(万人)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,7.4,7.9,8.1,8.0,7.8,7.4,7.5
天津市,26.1,25.8,26.0,25.8,25.1,22.5,21.7
河北省,36.0,38.0,39.9,39.7,39.4,38.3,37.2
山西省,21.3,24.6,26.5,26.1,25.6,24.5,21.1
内蒙古自治区,28.1,27.0,27.1,26.7,25.9,24.8,23.8
辽宁省,45.6,44.4,42.7,47.3,46.2,41.0,39.6
吉林省,23.9,26.8,26.3,25.7,23.9,23.2,22.6
黑龙江省,34.7,39.4,39.7,39.6,41.0,39.9,41.4
上海市,19.3,19.4,22.1,24.3,24.8,25.6,25.3
江苏省,35.1,34.4,34.7,35.2,36.0,36.6,37.6
浙江省,34.4,34.1,33.8,33.9,33.7,33.1,33.4
安徽省,26.8,28.1,29.0,30.4,30.9,31.5,32.4
福建省,16.8,17.3,17.1,16.3,15.4,14.3,14.7
江西省,27.5,35.1,32.3,31.3,29.9,29.4,27.4
山东省,44.2,46.5,45.7,45.8,43.7,43.1,42.2
河南省,49.4,48.6,40.7,43.6,42.5,40.0,40.2
湖北省,37.6,36.1,37.1,32.9,33.4,37.9,40.2
湖南省,31.1,40.4,44.5,44.9,45.1,47.3,45.6
广东省,36.9,36.6,37.1,38.0,37.0,36.8,38.0
广西壮族自治区,19.7,16.7,14.7,18.1,18.1,18.7,18.0
海南省,5.6,5.5,5.5,5.1,4.8,4.3,3.9
重庆市,17.5,13.1,14.3,15.7,14.3,13.4,12.1
四川省,50.4,53.3,55.8,56.3,54.6,54.4,42.9
贵州省,15.3,15.1,14.9,14.8,14.5,14.1,13.7
云南省,22.9,20.9,19.8,20.1,19.5,19.2,18.1
西藏自治区,2.1,2.1,1.9,1.8,1.8,1.7,1.6
陕西省,23.8,24.1,23.4,22.7,22.3,22.3,21.1
甘肃省,10.8,10.0,9.6,9.8,9.5,9.7,9.3
青海省,3.1,4.6,4.7,4.6,4.4,4.2,4.2
宁夏回族自治区,5.1,5.4,5.1,5.1,4.9,5.0,4.7
新疆维吾尔自治区,8.4,9.5,10.0,9.7,10.3,11.2,11.9
数据来源：国家统计局
