数据库：分省年度数据
指标：境内目的地和货源地进出口总额(千美元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,112276273,127418597,121618473,122322321,130775438,143110658,131560781
天津市,136369011,141741153,121694799,106973694,118960034,144420678,134600071
河北省,94725112,87470745,81535443,74991455,80249186,94268762,90219355
山西省,22857960,24650256,20787577,18839342,17446909,18511600,17160927
内蒙古自治区,20121192,19834851,15893414,13224718,13906054,15294779,14389456
辽宁省,133837007,134075576,112533837,96128240,107073187,125388776,121360506
吉林省,19244943,21541666,19792923,19241341,19978890,27036804,25190658
黑龙江省,24875503,23736077,16706937,13941687,16323507,29423936,27396382
上海市,473699895,485863759,447349338,404613805,423037090,452602727,434277989
江苏省,678525760,717129543,636491742,547135749,580973225,609129471,593295283
浙江省,451712936,441449406,383972917,343449195,359058830,378269557,365507579
安徽省,63777582,59401247,50986811,40968838,42492885,43202619,38927526
福建省,174770860,172830265,153077460,136803679,147566396,164503718,154483026
江西省,44353196,41168590,36920040,35362246,40650781,39113157,33652422
山东省,358756243,364113945,316287087,273396221,278374392,328410133,314942087
河南省,87995896,87489895,81368935,74113830,76956551,68475147,62773584
湖北省,53768498,51296470,46200729,39015438,44562804,40847179,35635283
湖南省,42098738,35457492,30007933,23153962,29304113,28300139,24316065
广东省,1184265367,1211248119,1113658915,1060123561,1165188477,1241942533,1281191589
广西壮族自治区,65330813,60733956,52599526,43905059,46212479,44887518,38696068
海南省,17174167,18094613,13650343,12174435,15515190,16927812,14758044
重庆市,75555894,68192954,56569753,51850663,58711825,82558569,58785234
四川省,104397765,93226695,66617526,48056738,46941771,61236892,55094683
贵州省,6929308,8357487,8120551,5204057,7829738,5138088,4757003
云南省,33438871,27177428,21386788,17414015,18990696,19913782,15824303
西藏自治区,616757,635525,610145,592093,664924,2135615,2104150
陕西省,49073657,52254788,40556810,29468674,29877091,27688331,20219749
甘肃省,5379798,6489777,5000606,4469599,4362904,5266725,6841557
青海省,488729,583645,450252,520478,591041,620053,855720
宁夏回族自治区,4193822,4046286,4329191,3103413,3388658,4012916,2608279
新疆维吾尔自治区,37278999,34704586,30387470,24998866,27067657,38888670,37568107
注：进出口数据来源于海关总署。1978年为外贸业务统计数，1980年起为海关进出口统计数。
数据来源：国家统计局
