数据库：分省年度数据
指标：外商投资企业进出口总额(千美元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,74183078,72570561,65879775,64379739,65161798,79357856,74539997
天津市,53378939,59464245,59909327,56485700,67235179,77403287,80145149
河北省,8592567,9920029,10569832,11178489,13983616,16433981,15984259
山西省,11925126,12221365,10172837,10243769,7606521,6911594,5420647
内蒙古自治区,951185,1104350,1045941,1004834,1318439,1631370,1627001
辽宁省,43758090,49714244,42507812,38754088,41335586,48578911,44990584
吉林省,8717404,10373833,10013001,9337771,9362201,12348593,10730223
黑龙江省,1834600,2032356,2516943,1088953,1214981,1330445,1414920
上海市,316694516,332613672,317358055,286260912,300702596,310115138,288560529
江苏省,375373539,408210443,376801274,325958399,337297685,349803193,339330156
浙江省,82566463,86987989,80854880,75285914,84142304,96771663,99769252
安徽省,19554196,19429934,16977630,13170240,12773642,13938582,11947106
福建省,62042016,68021349,64521568,58982109,66517111,74577186,75447006
江西省,13446130,14144254,12911422,11639396,12765574,13163054,12767144
山东省,74885510,85767259,84151275,82464472,92621365,107042036,101028707
河南省,51019908,53315683,53373949,49511022,52090864,43803617,39925498
湖北省,13488040,13610308,12182209,10644976,12285641,14529379,14023945
湖南省,7929626,9110558,8237942,6277046,6237852,6746658,6356136
广东省,434762977,490421387,471332655,470284515,542747830,588846367,592070527
广西壮族自治区,11142591,15902261,14140623,9739518,10341360,10602087,9469355
海南省,7370136,8806994,6802949,7225435,10542740,12684161,10949748
重庆市,48441159,44647486,38839634,33332699,36090620,43102342,37640379
四川省,66190517,58880015,46386881,31227726,26737525,34344638,31351946
贵州省,691891,2199399,2580482,304054,266557,187767,219630
云南省,790614,586654,439028,487441,503666,647924,843729
西藏自治区,731,963,551,92,,158,143
陕西省,33317833,36695070,27799589,21594501,20922154,18030121,10999696
甘肃省,50692,33447,31366,25655,37458,40889,72747
青海省,5057,4711,14254,4147,13283,17006,87890
宁夏回族自治区,556895,705565,636586,447350,373079,355492,349084
新疆维吾尔自治区,174662,167318,144825,195566,251424,212187,251447
注：进出口数据来源于海关总署。1978年为外贸业务统计数，1980年起为海关进出口统计数。
数据来源：国家统计局
