数据库：分省年度数据
指标：存货增加(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,571.0,358.0,334.6,352.2,273.0
天津市,,,329.7,470.2,503.3,686.4,607.9
河北省,,,47.7,40.8,53.2,297.7,219.1
山西省,,,454.6,1095.0,448.4,431.2,475.5
内蒙古自治区,,,-93.6,128.3,192.1,301.3,441.0
辽宁省,,,488.5,510.3,506.7,541.6,464.8
吉林省,,,-33.8,-32.9,-35.8,-42.6,-43.4
黑龙江省,,,83.7,208.9,101.2,153.5,278.8
上海市,,,685.9,689.8,551.0,745.3,741.7
江苏省,,,936.6,868.7,659.8,1003.5,923.2
浙江省,,,903.0,716.0,666.0,826.3,972.7
安徽省,,,154.3,162.6,205.8,181.9,179.9
福建省,,,871.4,1057.7,1002.5,1139.7,1126.1
江西省,,,286.7,274.1,616.8,385.8,385.8
山东省,,,1708.6,1088.6,2358.0,2133.7,1703.4
河南省,,,632.5,-35.0,530.6,588.7,453.9
湖北省,,,267.1,270.4,661.1,666.7,543.5
湖南省,,,425.9,259.9,470.1,512.5,427.8
广东省,,,1266.7,1367.4,1123.7,829.0,1053.0
广西壮族自治区,,,329.9,249.8,187.5,326.7,403.8
海南省,,,7.1,58.1,-8.0,49.8,93.1
重庆市,,,473.4,436.8,395.5,374.1,338.0
四川省,,,331.8,364.8,390.9,435.9,412.9
贵州省,,,270.6,219.6,190.4,185.5,119.7
云南省,,,661.5,582.2,526.8,759.8,644.1
西藏自治区,,,3.3,10.9,4.9,1.2,0.7
陕西省,,,270.8,322.9,225.5,198.4,259.0
甘肃省,,,247.5,-18.9,36.6,33.6,126.7
青海省,,,-21.3,13.6,70.5,50.9,100.8
宁夏回族自治区,,,-28.8,70.8,103.8,116.0,111.2
新疆维吾尔自治区,,,156.8,15.0,29.6,-18.9,248.7
数据来源：国家统计局
