数据库：分省年度数据
指标：居民消费价格指数(上年=100)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,102.3,102.5,101.9,101.4,101.8,101.6,103.3
天津市,102.7,102.0,102.1,102.1,101.7,101.9,103.1
河北省,103.0,102.4,101.7,101.5,100.9,101.7,103.0
山西省,102.7,101.8,101.1,101.1,100.6,101.7,103.1
内蒙古自治区,102.4,101.8,101.7,101.2,101.1,101.6,103.2
辽宁省,102.4,102.5,101.4,101.6,101.4,101.7,102.4
吉林省,103.0,102.1,101.6,101.6,101.7,102.0,102.9
黑龙江省,102.8,102.0,101.3,101.5,101.1,101.5,102.2
上海市,102.5,101.6,101.7,103.2,102.4,102.7,102.3
江苏省,103.1,102.3,101.7,102.3,101.7,102.2,102.3
浙江省,102.9,102.3,102.1,101.9,101.4,102.1,102.3
安徽省,102.7,102.0,101.2,101.8,101.3,101.6,102.4
福建省,102.6,101.5,101.2,101.7,101.7,102.0,102.5
江西省,102.9,102.1,102.0,102.0,101.5,102.3,102.5
山东省,103.2,102.5,101.5,102.1,101.2,101.9,102.2
河南省,103.0,102.3,101.4,101.9,101.3,101.9,102.9
湖北省,103.1,101.9,101.5,102.2,101.5,102.0,102.8
湖南省,102.9,102.0,101.4,101.9,101.4,101.9,102.5
广东省,103.4,102.2,101.5,102.3,101.5,102.3,102.5
广西壮族自治区,103.7,102.3,101.6,101.6,101.5,102.1,102.2
海南省,103.4,102.5,102.8,102.8,101.0,102.4,102.8
重庆市,102.7,102.0,101.0,101.8,101.3,101.8,102.7
四川省,103.2,101.7,101.4,101.9,101.5,101.6,102.8
贵州省,102.4,101.8,100.9,101.4,101.8,102.4,102.5
云南省,102.5,101.6,100.9,101.5,101.9,102.4,103.1
西藏自治区,102.3,101.7,101.6,102.5,102.0,102.9,103.6
陕西省,102.9,102.1,101.6,101.3,101.0,101.6,103.0
甘肃省,102.3,102.0,101.4,101.3,101.6,102.1,103.2
青海省,102.5,102.5,101.5,101.8,102.6,102.8,103.9
宁夏回族自治区,102.1,102.3,101.6,101.5,101.1,101.9,103.4
新疆维吾尔自治区,101.9,102.0,102.2,101.4,100.6,102.1,103.9
数据来源：国家统计局
