数据库：分省年度数据
指标：居民消费水平指数(上年=100)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,105.7,106.2,106.7,104.7,106.6
天津市,,,106.4,106.9,106.2,106.9,106.7
河北省,,,109.5,110.7,109.7,109.4,110.8
山西省,,,118.8,103.7,111.5,105.0,110.5
内蒙古自治区,,,104.3,105.5,104.6,108.7,109.9
辽宁省,,,103.4,110.1,108.6,108.7,109.5
吉林省,,,106.2,103.4,107.7,105.5,112.6
黑龙江省,,,107.3,105.6,106.8,116.1,109.7
上海市,,,107.3,106.7,106.5,107.3,107.3
江苏省,,,109.3,109.1,110.2,111.9,116.6
浙江省,,,107.2,105.4,106.0,107.3,107.4
安徽省,,,108.1,108.1,107.2,107.0,103.8
福建省,,,109.4,110.9,108.8,107.9,107.1
江西省,,,108.2,108.9,109.3,110.1,110.0
山东省,,,108.6,108.5,109.0,110.1,110.1
河南省,,,109.0,109.0,110.5,108.6,109.6
湖北省,,,109.4,109.7,109.2,110.8,110.6
湖南省,,,108.0,108.0,107.4,109.2,108.1
广东省,,,105.2,105.7,106.8,108.3,106.4
广西壮族自治区,,,106.5,106.3,107.3,107.6,109.1
海南省,,,109.5,106.6,108.5,108.7,108.2
重庆市,,,108.6,110.0,110.6,111.1,112.2
四川省,,,108.6,107.3,108.0,108.4,108.7
贵州省,,,112.2,112.6,109.9,113.1,112.7
云南省,,,106.8,106.8,110.9,107.7,111.7
西藏自治区,,,110.6,108.0,116.1,111.3,116.7
陕西省,,,108.1,107.3,106.5,110.1,110.4
甘肃省,,,107.8,108.8,109.6,110.8,111.7
青海省,,,106.6,109.2,110.1,109.7,111.8
宁夏回族自治区,,,108.0,107.2,112.5,111.7,108.8
新疆维吾尔自治区,,,107.7,110.4,108.4,107.0,103.7
数据来源：国家统计局
