数据库：分省年度数据
指标：居民消费水平(元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,52912,48883,39200,36057,33337
天津市,,,38975,36257,32595,28492,26261
河北省,,,15893,14328,12829,12171,11557
山西省,,,18132,15065,14364,12622,12078
内蒙古自治区,,,23909,22293,20835,19827,17168
辽宁省,,,24866,23670,23693,22260,20156
吉林省,,,15083,13786,14630,13663,13676
黑龙江省,,,18859,17393,16443,15215,12978
上海市,,,53617,49617,45816,43007,39223
江苏省,,,39796,35875,31682,28316,23585
浙江省,,,33851,30743,28712,26885,24771
安徽省,,,17141,15466,13941,12944,11618
福建省,,,25969,23355,20828,19099,17115
江西省,,,17290,16040,14489,12000,11910
山东省,,,28353,25860,20684,19184,16728
河南省,,,17842,16043,14507,13078,11782
湖北省,,,21642,19391,17429,15762,13912
湖南省,,,19418,17490,16289,14384,12920
广东省,,,30762,28495,26365,24582,23739
广西壮族自治区,,,16064,15013,13857,12944,11710
海南省,,,20939,18431,17019,12915,11712
重庆市,,,22927,21032,18860,17262,15423
四川省,,,17920,16013,14774,13755,12485
贵州省,,,16349,14666,12876,11362,9541
云南省,,,15831,14534,13401,12235,11224
西藏自治区,,,10990,9743,8756,7205,6275
陕西省,,,18485,16657,15363,14812,13206
甘肃省,,,14203,13086,11868,10678,9616
青海省,,,18020,16751,15167,13534,12070
宁夏回族自治区,,,21058,18570,17210,15193,13537
新疆维吾尔自治区,,,16736,15247,13684,12435,11401
数据来源：国家统计局
