数据库：分省年度数据
指标：居民消费(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,11491.5,10621.7,8471.4,7691.6,6974.3
天津市,,,6078.2,5636.3,4993.1,4258.1,3788.7
河北省,,,11911.3,10670.8,9499.1,8955.9,8448.1
山西省,,,6694.4,5533.3,5251.4,4569.7,4372.7
内蒙古自治区,,,6035.7,5608.0,5225.2,4959.2,4281.3
辽宁省,,,10874.8,10367.6,10393.9,9773.6,8847.4
吉林省,,,4098.8,3802.5,4027.4,3759.9,3762.0
黑龙江省,,,7155.1,6619.1,6304.4,5833.4,4976.5
上海市,,,12970.1,11994.8,11089.6,10409.4,9405.0
江苏省,,,31892.4,28654.7,25245.2,22510.6,18702.2
浙江省,,,19036.3,17106.7,15858.8,14794.8,13593.2
安徽省,,,10670.4,9541.6,8522.5,7839.2,6981.3
福建省,,,10108.4,9006.8,7961.5,7238.4,6437.0
江西省,,,7965.7,7344.9,6598.1,5415.6,5375.2
山东省,,,28285.5,25593.4,20308.4,18726.6,16241.4
河南省,,,17029.7,15250.8,13721.0,12325.6,11086.7
湖北省,,,12754.5,11379.2,10167.9,9124.5,8053.8
湖南省,,,13283.9,11897.7,11011.5,9657.1,8610.7
广东省,,,34097.1,31127.6,28438.6,26263.1,25208.5
广西壮族自治区,,,7847.1,7231.8,6645.7,6131.5,5504.4
海南省,,,1929.4,1684.5,1543.9,1161.5,1043.4
重庆市,,,7019.7,6378.1,5665.4,5145.3,4561.4
四川省,,,14841.2,13183.4,12073.4,11174.2,10102.5
贵州省,,,5832.6,5195.2,4530.9,3982.3,3332.7
云南省,,,7599.8,6912.8,6354.3,5750.9,5244.6
西藏自治区,,,370.5,322.0,283.7,228.8,195.8
陕西省,,,7068.7,6334.7,5813.5,5584.3,4962.9
甘肃省,,,3718.2,3408.5,3079.9,2761.8,2480.7
青海省,,,1073.9,989.9,888.7,785.8,694.6
宁夏回族自治区,,,1428.5,1246.8,1143.9,999.5,880.8
新疆维吾尔自治区,,,4052.4,3627.2,3187.1,2837.0,2563.5
数据来源：国家统计局
