数据库：分省年度数据
指标：工业增加值(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,4243.3,4139.9,3885.9,3635.5,3458.9,3522.8,3336.6
天津市,4372.3,4276.9,3942.5,3773.0,3815.1,3972.4,3814.7
河北省,11310.4,10930.3,11015.7,10755.9,10026.4,10056.3,9847.5
山西省,6582.7,6260.2,5887.3,4441.2,4597.2,5769.2,6113.9
内蒙古自治区,5458.6,5104.2,4672.0,4357.1,4121.2,4008.3,3823.6
辽宁省,8052.2,7728.7,7039.0,6617.5,7115.7,7811.3,8039.6
吉林省,3347.8,3287.2,3235.2,3148.2,3090.7,3065.0,2852.7
黑龙江省,3334.0,3266.7,3226.1,3367.3,3593.9,4527.9,4857.5
上海市,9565.1,9763.5,8977.4,8045.5,7888.6,8099.9,7765.3
江苏省,37225.7,36113.2,33782.6,30291.4,28802.6,27154.5,25564.4
浙江省,22520.9,21621.2,20038.7,18661.5,17803.3,16955.3,15835.8
安徽省,11181.7,10639.8,9739.9,8909.4,8360.5,8595.2,8045.3
福建省,15654.0,14781.0,12864.9,11712.0,11008.7,10682.2,9650.2
江西省,8774.2,8264.2,7969.6,7349.3,7026.2,6930.7,6523.3
山东省,22755.1,22613.0,22515.8,21696.0,21156.5,20178.2,19475.3
河南省,17938.2,17323.4,16741.4,15536.8,14797.6,14229.3,13441.5
湖北省,15707.6,14849.6,13431.6,12480.5,11677.3,11174.2,10227.4
湖南省,11995.8,10785.6,10709.8,10540.1,10458.8,9859.9,9179.7
广东省,39141.8,37651.1,35344.0,32677.9,31315.5,29497.8,27142.1
广西壮族自治区,5246.6,5101.9,4680.1,4307.3,4159.1,4023.8,3699.7
海南省,597.9,582.0,528.3,482.5,492.9,485.9,441.6
重庆市,6551.8,6268.1,6202.4,5896.2,5621.5,5369.9,4775.7
四川省,13165.9,12360.1,11437.8,10790.9,10735.0,10703.8,10309.0
贵州省,4459.0,4165.5,3821.4,3501.7,3196.0,2840.3,2533.3
云南省,5400.5,4911.7,4347.8,4087.5,4044.5,4085.0,3903.4
西藏自治区,131.7,127.0,110.1,91.6,73.5,69.7,63.9
陕西省,9459.9,9088.1,8232.9,7226.9,7103.3,7632.4,7156.9
甘肃省,2319.8,2253.4,2020.5,1995.5,2031.6,2374.3,2262.6
青海省,821.9,777.5,683.2,597.4,516.4,504.5,502.0
宁夏回族自治区,1272.5,1191.0,1129.2,925.4,874.7,881.0,846.3
新疆维吾尔自治区,3831.0,3758.5,3266.1,2686.8,2770.9,3211.2,2951.6
数据来源：国家统计局
