数据库：分省年度数据
指标：建筑业增加值(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,1477.4,1387.8,1210.9,1074.5,1002.6,952.7,872.0
天津市,693.8,674.1,704.0,710.8,695.6,677.3,625.0
河北省,2118.9,2007.9,1796.8,1610.1,1524.4,1452.1,1361.6
山西省,894.8,819.9,752.9,676.6,626.2,612.9,574.1
内蒙古自治区,1304.5,1231.2,1202.3,1222.7,1148.3,1106.1,1046.6
辽宁省,1480.1,1433.9,1388.2,1338.0,1298.5,1297.2,1263.8
吉林省,808.6,785.6,781.1,773.5,767.0,759.6,737.8
黑龙江省,417.4,409.4,414.3,429.5,422.3,424.5,428.6
上海市,716.2,685.7,634.4,595.6,589.3,601.4,586.5
江苏省,6330.7,6063.7,5386.0,4790.0,4607.0,3902.5,3593.2
浙江省,3832.1,3737.6,3262.3,2959.4,2853.7,2680.9,2358.9
安徽省,3811.6,3476.9,2961.7,2626.7,2495.3,2405.1,2203.8
福建省,4482.0,4131.4,3481.2,3022.5,2774.4,2528.8,2196.8
江西省,2053.0,1823.4,1480.0,1387.5,1343.2,1307.9,1138.6
山东省,5532.8,5024.9,4441.0,3909.4,3731.6,3476.1,3188.6
河南省,5174.8,4790.8,4235.8,3503.8,3204.8,3017.8,2666.1
湖北省,3073.1,2781.4,2342.5,2109.2,1957.8,1875.4,1657.0
湖南省,3416.9,3128.3,2760.2,2411.7,2217.1,1975.8,1742.9
广东省,4334.0,3849.8,3289.3,2909.5,2684.4,2496.2,2260.5
广西壮族自治区,1816.1,1606.6,1466.0,1315.0,1232.8,1126.0,1013.0
海南省,490.2,475.2,470.0,422.5,390.4,341.8,310.4
重庆市,2840.1,2574.1,2252.6,1869.2,1586.5,1404.7,1213.0
四川省,4150.3,3809.8,3235.9,2757.8,2555.5,2494.8,2217.7
贵州省,1517.1,1344.9,1152.6,970.0,833.4,743.1,638.7
云南省,2664.6,2360.0,1973.7,1663.4,1450.5,1294.6,1100.0
西藏自治区,503.9,455.8,359.6,298.8,268.3,240.7,206.9
陕西省,2432.3,2233.0,1959.0,1732.8,1603.2,1473.7,1308.1
甘肃省,553.0,518.2,504.6,498.3,484.2,466.1,428.9
青海省,332.0,316.2,292.5,270.3,244.7,210.3,178.9
宁夏回族自治区,316.2,298.5,278.1,255.4,243.1,233.7,214.2
新疆维吾尔自治区,1044.6,987.8,913.2,840.1,779.7,717.2,630.3
数据来源：国家统计局
