数据库：分省年度数据
指标：房地产业增加值(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,2603.8,2481.5,2420.5,2241.2,1899.2,1745.2,1731.5
天津市,1238.5,1143.4,1124.5,1080.3,926.8,867.4,828.4
河北省,2356.2,2103.4,2023.1,1776.6,1563.6,1318.0,1251.7
山西省,1066.7,1035.7,956.5,700.8,680.3,636.6,569.3
内蒙古自治区,892.2,828.9,735.3,705.1,664.5,646.2,586.1
辽宁省,1491.9,1368.6,1254.6,1145.8,1057.3,1026.6,988.8
吉林省,778.8,731.1,711.8,673.4,618.6,615.2,528.5
黑龙江省,714.2,656.3,610.5,571.9,553.1,543.9,512.7
上海市,3300.7,3185.3,2873.2,3102.5,2404.2,2121.1,1917.4
江苏省,7925.9,7467.2,6907.8,5792.0,4954.1,4304.4,3668.4
浙江省,4618.0,4117.1,3511.7,2785.2,2436.6,2142.0,2162.9
安徽省,2888.4,2711.4,1921.7,1522.2,1164.8,1079.5,939.5
福建省,2697.8,2436.0,2155.7,1508.1,1258.6,1184.7,1108.8
江西省,1816.3,1740.3,1289.4,1008.3,707.6,522.8,500.6
山东省,4073.7,3963.1,3469.4,3065.4,2828.8,2641.2,2445.2
河南省,3352.3,3079.9,2705.0,2259.8,1946.3,1774.1,1627.3
湖北省,3455.3,3320.1,2794.3,2231.7,1879.9,1698.7,1484.9
湖南省,2725.1,2623.4,2215.0,1815.0,1473.1,1214.6,1095.5
广东省,9543.2,8533.7,8178.6,6615.7,5280.5,4309.3,3956.0
广西壮族自治区,1798.8,1650.2,1376.5,1130.6,963.4,816.1,733.4
海南省,510.3,481.8,444.9,360.0,309.7,294.9,287.8
重庆市,1502.5,1336.7,1276.6,1067.9,919.0,869.3,778.2
四川省,3269.1,3118.1,2602.6,1878.6,1519.7,1308.0,918.4
贵州省,644.2,572.3,487.8,401.3,356.7,308.5,274.4
云南省,1417.4,1278.2,1006.1,819.4,709.7,659.7,586.7
西藏自治区,54.5,48.2,39.7,38.8,33.5,32.7,25.2
陕西省,1422.0,1178.6,1010.5,865.7,796.0,655.1,579.2
甘肃省,470.5,440.8,394.4,364.7,335.3,313.1,269.8
青海省,127.5,118.9,105.0,93.4,86.0,65.7,53.9
宁夏回族自治区,160.6,145.7,131.2,109.3,102.4,120.7,108.7
新疆维吾尔自治区,520.1,483.5,448.9,405.8,379.4,366.2,364.3
数据来源：国家统计局
