数据库：分省年度数据
指标：批发和零售业增加值(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,2867.5,2824.1,2703.7,2544.3,2506.7,2579.0,2483.2
天津市,1357.3,1345.2,1313.6,1199.1,1146.3,1102.4,1039.0
河北省,2922.5,2722.3,2553.3,2290.0,2153.0,2025.1,1938.8
山西省,1361.6,1328.3,1148.5,1108.1,1117.1,1026.8,1007.6
内蒙古自治区,1448.3,1370.2,1303.0,1220.5,1146.7,1073.4,978.8
辽宁省,2147.9,2046.9,1988.1,1920.7,1819.8,1667.6,1459.3
吉林省,759.1,732.9,717.8,704.9,666.7,665.4,637.0
黑龙江省,1001.3,946.3,900.6,876.0,830.9,795.0,713.5
上海市,5023.2,4884.8,4562.9,4218.5,3892.2,3729.4,3593.3
江苏省,10836.6,10139.3,9197.5,8447.9,7829.8,6559.0,6123.5
浙江省,7360.2,6853.0,6323.6,5828.6,5290.6,4808.8,4457.5
安徽省,3404.0,3184.0,2924.0,2656.3,2420.1,2204.1,1989.8
福建省,4422.9,3891.9,3426.5,3043.4,2747.4,2531.3,2256.6
江西省,2112.2,1942.3,1695.0,1397.7,1213.5,1114.0,1005.0
山东省,9564.8,8747.1,8057.1,7842.4,7306.6,6604.9,5843.5
河南省,4043.4,3698.0,3227.4,2940.5,2558.0,2296.2,2073.4
湖北省,3347.1,3098.0,2819.3,2569.5,2394.0,2205.7,2013.7
湖南省,4004.4,3705.4,3423.3,3141.5,2884.8,2619.0,2356.6
广东省,11000.2,10476.0,9642.1,8924.7,8030.9,7946.3,7404.6
广西壮族自治区,1759.0,1607.6,1485.8,1351.0,1252.5,1178.7,1133.4
海南省,546.6,464.2,466.7,442.8,425.8,386.9,339.5
重庆市,2192.1,2024.6,1955.1,1703.4,1462.2,1311.2,1171.5
四川省,4243.8,3835.5,3432.3,2760.3,2360.0,2083.2,1831.4
贵州省,1269.9,1181.2,1040.1,893.7,790.6,733.7,647.9
云南省,2386.2,2187.3,1941.1,1732.5,1583.3,1469.8,1345.8
西藏自治区,104.5,95.5,87.8,80.5,76.3,71.9,65.1
陕西省,1872.4,1734.5,1606.7,1473.2,1390.9,1316.2,1209.7
甘肃省,646.3,587.6,540.6,516.6,490.3,475.8,445.6
青海省,160.8,150.9,145.0,141.2,132.1,123.2,114.2
宁夏回族自治区,202.3,190.2,173.5,154.0,143.8,146.1,139.1
新疆维吾尔自治区,770.5,742.6,704.7,588.3,525.2,552.2,560.5
数据来源：国家统计局
