数据库：分省年度数据
指标：支出法生产总值(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,28014.9,25669.1,23014.6,21330.8,19500.6
天津市,,,18549.2,17885.4,16538.2,15727.0,14370.2
河北省,,,34016.3,32070.5,29806.4,29421.2,28301.4
山西省,,,15528.4,13055.6,12766.5,12761.5,12602.2
内蒙古自治区,,,16096.2,18128.1,17831.5,17769.5,16832.4
辽宁省,,,23409.2,22246.9,28669.0,28626.6,27077.7
吉林省,,,14944.5,14776.8,15507.9,14631.4,13946.8
黑龙江省,,,15902.7,15386.1,15083.7,15275.2,14382.9
上海市,,,30633.0,28178.7,25123.5,23567.7,21602.1
江苏省,,,85869.8,77388.3,70116.4,65088.3,59161.8
浙江省,,,51768.3,47251.4,42886.5,40173.0,37568.5
安徽省,,,27018.0,24407.6,22005.6,20848.8,17212.1
福建省,,,32182.1,28810.6,25979.8,24055.8,21759.6
江西省,,,20006.3,18499.0,16723.8,14410.2,14338.5
山东省,,,72634.2,68024.5,63002.3,59426.6,54684.3
河南省,,,44552.8,40471.8,37002.2,34938.2,32155.9
湖北省,,,35478.1,32665.4,31226.4,28728.2,25431.7
湖南省,,,33902.7,31551.4,28902.2,27037.3,24501.7
广东省,,,89705.2,80854.9,72812.6,67809.9,62164.0
广西壮族自治区,,,18523.3,18317.6,16803.1,15672.9,14378.0
海南省,,,4462.5,4053.2,3702.8,3500.7,3146.5
重庆市,,,19424.7,17740.6,15717.3,14262.6,12783.3
四川省,,,36980.2,32934.5,30053.1,28536.7,26260.8
贵州省,,,13540.8,11776.7,10502.6,9266.4,8006.8
云南省,,,16376.3,14788.4,13619.2,12814.6,11720.9
西藏自治区,,,1310.9,1151.4,1026.4,920.8,807.7
陕西省,,,21898.8,19399.6,18021.9,17689.9,16045.2
甘肃省,,,7459.9,7200.4,6790.3,6836.8,6268.0
青海省,,,2624.8,2572.5,2417.1,2303.3,2101.1
宁夏回族自治区,,,3443.6,3168.6,2911.8,2752.1,2565.1
新疆维吾尔自治区,,,10882.0,9649.7,9324.8,9273.5,8360.2
注：由于采取分级核算，各地区国内生产总值相加不等于全国总计。
数据来源：国家统计局
