数据库：分省年度数据
指标：政府消费(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,5350.6,4784.8,6032.2,5637.6,4971.8
天津市,,,2346.0,2375.8,2162.5,1995.5,1846.1
河北省,,,4144.4,3865.4,3698.7,3583.1,3438.5
山西省,,,2062.0,1918.2,1883.3,1795.9,1810.1
内蒙古自治区,,,2427.8,2422.9,2227.6,2199.0,2608.3
辽宁省,,,2902.5,2781.9,2625.6,2419.1,2367.4
吉林省,,,1701.1,1764.5,1565.8,1648.1,1738.5
黑龙江省,,,2967.4,2960.9,2682.3,3043.9,2987.1
上海市,,,4580.9,4182.3,3764.9,3448.8,3111.3
江苏省,,,11128.4,10845.2,9796.3,8556.8,7720.6
浙江省,,,6442.7,5645.0,5077.5,4570.6,4144.1
安徽省,,,2828.5,2571.2,2448.0,2297.6,2208.0
福建省,,,3042.5,2607.6,2367.4,2061.0,1953.0
江西省,,,2257.5,2017.9,1820.2,1667.0,1667.0
山东省,,,6900.5,6556.3,5836.1,5466.5,6360.2
河南省,,,6099.9,5526.2,5001.7,4524.5,4200.7
湖北省,,,4417.3,3875.8,3631.8,3438.3,3107.4
湖南省,,,4792.1,4224.9,3744.3,2806.0,2670.3
广东省,,,11031.9,9758.3,8772.7,7657.4,6987.8
广西壮族自治区,,,2658.4,2602.7,2232.9,2056.1,1903.3
海南省,,,852.4,805.0,698.8,561.2,547.0
重庆市,,,2270.9,2066.4,1837.8,1619.3,1500.2
四川省,,,4524.5,4054.5,3701.5,3355.7,3120.6
贵州省,,,1673.8,1550.8,1426.9,1306.2,1203.1
云南省,,,2906.3,2680.0,2501.1,2456.6,2119.6
西藏自治区,,,674.6,578.9,536.4,366.4,322.7
陕西省,,,2606.6,2456.2,2386.5,2231.8,2089.0
甘肃省,,,1430.1,1342.9,1294.3,1273.8,1202.2
青海省,,,741.6,686.5,597.3,368.6,353.9
宁夏回族自治区,,,684.7,644.8,575.7,469.1,459.3
新疆维吾尔自治区,,,3219.7,2528.1,2452.7,2187.5,2035.7
数据来源：国家统计局
