数据库：分省年度数据
指标：最终消费率(%)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,60.1,60.0,63.0,62.5,61.3
天津市,,,45.4,44.8,43.3,39.8,39.2
河北省,,,47.2,45.3,44.3,42.6,42.0
山西省,,,56.4,57.1,55.9,49.9,49.1
内蒙古自治区,,,52.6,44.3,41.8,40.3,40.9
辽宁省,,,58.9,59.1,45.4,42.6,41.4
吉林省,,,38.8,37.7,36.1,37.0,39.4
黑龙江省,,,63.7,62.3,59.6,58.1,55.4
上海市,,,57.3,57.4,59.1,58.8,57.9
江苏省,,,50.1,51.0,50.0,47.7,44.7
浙江省,,,49.2,48.2,48.8,48.2,47.2
安徽省,,,50.0,49.6,49.9,48.6,53.4
福建省,,,40.9,40.3,39.8,38.7,38.6
江西省,,,51.1,50.6,50.3,49.1,49.1
山东省,,,48.4,47.3,41.5,40.7,41.3
河南省,,,51.9,51.3,50.6,48.2,47.5
湖北省,,,48.4,46.7,44.2,43.7,43.9
湖南省,,,53.3,51.1,51.1,46.1,46.0
广东省,,,50.3,50.6,51.1,50.0,51.8
广西壮族自治区,,,56.7,53.7,52.8,52.2,51.5
海南省,,,62.3,61.4,60.6,49.2,50.5
重庆市,,,47.8,47.6,47.7,47.4,47.4
四川省,,,52.4,52.3,52.5,50.9,50.4
贵州省,,,55.4,57.3,56.7,57.1,56.6
云南省,,,64.2,64.9,65.0,64.0,62.8
西藏自治区,,,79.7,78.2,79.9,64.6,64.2
陕西省,,,44.2,45.3,45.5,44.2,44.0
甘肃省,,,69.0,66.0,64.4,59.0,58.8
青海省,,,69.2,65.2,61.5,50.1,49.9
宁夏回族自治区,,,61.4,59.7,59.1,53.4,52.2
新疆维吾尔自治区,,,66.8,63.8,60.5,54.2,55.0
数据来源：国家统计局
