数据库：分省年度数据
指标：最终消费(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,16842.1,15406.5,14503.6,13329.2,11946.1
天津市,,,8424.2,8012.0,7155.7,6253.6,5634.8
河北省,,,16055.7,14536.1,13197.8,12539.0,11886.6
山西省,,,8756.4,7451.5,7134.7,6365.6,6182.8
内蒙古自治区,,,8463.4,8030.9,7452.8,7158.2,6889.6
辽宁省,,,13777.3,13149.5,13019.5,12192.7,11214.9
吉林省,,,5799.9,5567.1,5593.2,5408.0,5500.5
黑龙江省,,,10122.5,9580.0,8986.7,8877.3,7963.6
上海市,,,17551.0,16177.0,14854.5,13858.1,12516.3
江苏省,,,43020.8,39499.9,35041.4,31067.3,26422.8
浙江省,,,25479.0,22751.7,20936.3,19365.4,17737.2
安徽省,,,13498.9,12112.8,10970.5,10136.8,9189.3
福建省,,,13150.9,11614.4,10328.9,9299.3,8389.9
江西省,,,10223.2,9362.7,8418.3,7082.6,7042.1
山东省,,,35185.9,32149.7,26144.4,24193.1,22601.6
河南省,,,23129.6,20777.0,18722.6,16850.1,15287.4
湖北省,,,17171.8,15255.0,13799.7,12562.8,11161.2
湖南省,,,18076.0,16122.6,14755.8,12463.1,11281.0
广东省,,,45129.0,40885.9,37211.3,33920.6,32196.2
广西壮族自治区,,,10505.4,9834.5,8878.5,8187.7,7407.7
海南省,,,2781.8,2489.6,2242.7,1722.7,1590.4
重庆市,,,9290.6,8444.5,7503.2,6764.7,6061.6
四川省,,,19365.7,17237.9,15775.0,14529.9,13223.1
贵州省,,,7506.4,6746.0,5957.7,5288.5,4535.8
云南省,,,10506.1,9592.7,8855.3,8207.5,7364.2
西藏自治区,,,1045.1,901.0,820.0,595.2,518.6
陕西省,,,9675.3,8790.9,8200.0,7816.1,7051.9
甘肃省,,,5148.3,4751.4,4374.2,4035.6,3682.9
青海省,,,1815.4,1676.4,1486.0,1154.4,1048.5
宁夏回族自治区,,,2113.2,1891.6,1719.7,1468.6,1340.1
新疆维吾尔自治区,,,7272.1,6155.3,5639.8,5024.5,4599.2
数据来源：国家统计局
