数据库：分省年度数据
指标：生产税净额(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,3542.6,3405.4,3259.5,3165.4,3131.2
天津市,,,2035.1,1658.7,1580.0,1558.6,1485.3
河北省,,,4146.4,3979.2,3656.7,3600.9,3528.8
山西省,,,1890.9,1576.3,1583.7,1766.1,1796.5
内蒙古自治区,,,1789.8,1612.5,1415.4,1470.3,1396.1
辽宁省,,,1990.1,1918.5,2046.5,2099.9,2096.9
吉林省,,,1260.7,1239.9,1199.0,1159.9,1127.5
黑龙江省,,,1111.4,1106.5,1321.1,1690.8,1748.5
上海市,,,5224.4,5314.7,4852.4,4669.1,4412.1
江苏省,,,9940.0,9306.6,8547.2,8018.8,7640.4
浙江省,,,7113.9,6244.8,5811.5,5692.6,5174.9
安徽省,,,3945.3,3561.2,3391.6,3465.9,3180.0
福建省,,,3808.5,3583.9,3639.9,3520.2,2967.5
江西省,,,2916.1,2570.8,2526.7,2384.5,2083.6
山东省,,,7635.6,6759.6,6425.8,7786.4,7261.3
河南省,,,4029.3,3730.0,3687.9,3725.6,3522.3
湖北省,,,3293.0,3075.7,3033.5,3053.7,2821.4
湖南省,,,4890.1,4565.9,4234.3,3807.3,3708.1
广东省,,,11354.3,10237.7,9401.2,9787.4,8826.9
广西壮族自治区,,,2325.2,2211.2,2236.8,2140.8,2081.3
海南省,,,581.3,533.6,514.9,494.0,472.4
重庆市,,,1947.4,1799.1,1671.7,1686.2,1490.2
四川省,,,4094.3,3644.9,3492.8,3303.3,3070.9
贵州省,,,2038.0,1903.6,1714.7,1535.8,1358.1
云南省,,,2276.4,2105.5,2052.5,2084.9,1947.2
西藏自治区,,,110.3,97.6,87.3,84.1,71.4
陕西省,,,3200.2,2952.1,3159.5,3135.0,2621.4
甘肃省,,,916.9,845.0,798.3,891.4,837.4
青海省,,,299.8,215.2,207.2,191.7,180.1
宁夏回族自治区,,,287.7,252.4,246.1,264.0,256.4
新疆维吾尔自治区,,,1142.8,975.5,1111.9,1230.6,1076.6
注：按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年以前年度的地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
