数据库：分省年度数据
指标：第一产业增加值(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,114.4,120.6,121.9,129.8,140.4,159.2,159.8
天津市,185.4,175.3,169.0,168.5,162.3,158.8,154.8
河北省,3518.4,3338.6,3130.0,3082.5,3100.5,3164.7,3141.9
山西省,825.3,740.8,719.2,724.3,726.2,736.6,697.6
内蒙古自治区,1863.3,1750.7,1649.8,1650.6,1630.2,1638.0,1582.9
辽宁省,2178.0,2020.6,1902.3,1841.2,2053.7,2002.0,1973.4
吉林省,1287.3,1160.7,1095.4,1130.1,1270.6,1270.2,1250.2
黑龙江省,3183.2,3001.2,2965.3,2751.2,2712.2,2691.0,2539.6
上海市,107.1,104.8,110.8,114.3,125.5,132.0,131.6
江苏省,4297.2,4141.7,4045.2,4039.8,3952.5,3607.4,3447.5
浙江省,2086.7,1975.9,1933.9,1890.4,1771.4,1726.6,1718.7
安徽省,2916.0,2638.0,2582.3,2489.8,2376.1,2295.0,2173.2
福建省,2595.5,2379.0,2215.1,2145.1,1932.8,1855.9,1745.2
江西省,2057.7,1877.3,1835.3,1794.1,1714.5,1626.9,1540.7
山东省,5117.0,4950.5,4832.7,4830.3,4902.8,4662.8,4454.1
河南省,4635.7,4311.1,4139.3,4063.6,4015.6,3988.2,3827.2
湖北省,3809.4,3548.2,3529.0,3406.5,3109.9,3001.6,2883.7
湖南省,3647.2,3084.2,2998.4,2915.6,2747.9,2671.0,2589.2
广东省,4350.6,3836.4,3611.4,3500.5,3189.8,3038.7,2876.4
广西壮族自治区,3389.7,3021.1,2878.3,2800.3,2565.5,2413.4,2290.6
海南省,1079.0,986.0,962.8,924.7,835.4,793.2,723.6
重庆市,1551.6,1378.7,1276.1,1237.0,1067.7,990.8,941.2
四川省,4807.5,4427.4,4262.5,3900.6,3661.0,3524.7,3257.4
贵州省,2280.6,2156.0,2032.3,1861.8,1642.0,1281.5,999.3
云南省,3037.7,2498.7,2338.4,2225.5,2079.3,2007.4,1878.5
西藏自治区,138.2,128.3,118.2,110.5,93.6,88.1,81.2
陕西省,1991.1,1830.2,1741.1,1696.1,1599.7,1566.9,1463.5
甘肃省,1059.3,926.1,859.8,800.8,733.4,695.8,658.1
青海省,301.9,268.1,238.4,221.2,208.9,215.9,204.7
宁夏回族自治区,280.0,279.4,250.6,241.0,236.8,216.9,210.7
新疆维吾尔自治区,1781.8,1692.1,1551.8,1473.2,1409.7,1406.7,1326.6
数据来源：国家统计局
