数据库：分省年度数据
指标：第一产业增加值指数(上年=100)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,95.0,98.0,95.2,91.3,89.2,100.0,103.0
天津市,100.2,100.1,102.8,103.0,102.6,102.8,101.9
河北省,101.6,103.0,103.9,103.5,102.6,103.7,103.3
山西省,102.2,102.1,102.9,102.9,101.0,104.8,104.8
内蒙古自治区,102.4,103.2,103.3,103.2,103.2,103.2,103.7
辽宁省,103.6,103.0,103.6,98.3,104.0,102.2,104.0
吉林省,102.5,102.0,103.3,103.9,104.7,104.6,104.0
黑龙江省,102.4,103.7,104.5,104.2,105.1,105.6,104.7
上海市,95.2,90.2,99.2,87.6,95.1,101.7,97.8
江苏省,101.6,101.8,100.4,101.6,103.3,103.0,108.2
浙江省,101.8,101.8,102.7,102.3,101.2,101.3,100.5
安徽省,103.4,103.1,104.1,102.7,104.2,104.6,103.3
福建省,103.5,103.4,103.7,103.0,103.2,103.6,103.1
江西省,103.1,103.4,104.4,104.1,103.9,104.7,108.3
山东省,101.1,102.7,103.6,103.8,104.2,103.8,103.5
河南省,102.4,103.4,104.3,104.3,104.4,104.0,104.2
湖北省,103.4,102.9,103.6,103.9,104.5,104.8,105.3
湖南省,103.2,103.5,103.6,103.3,103.6,104.5,102.7
广东省,103.8,104.4,103.6,103.1,103.4,103.3,102.4
广西壮族自治区,105.6,105.5,104.2,103.4,103.9,103.9,104.0
海南省,102.5,103.8,103.6,104.2,105.4,104.8,106.3
重庆市,103.5,104.4,104.0,104.7,104.8,104.4,104.7
四川省,102.8,103.6,103.8,103.8,103.8,103.8,103.5
贵州省,105.7,106.8,106.3,106.0,106.5,106.6,105.8
云南省,105.5,106.3,106.1,105.6,105.9,106.2,106.8
西藏自治区,104.6,102.7,104.1,104.5,103.7,104.2,103.8
陕西省,104.4,103.3,104.6,104.0,105.1,105.1,104.6
甘肃省,105.8,104.9,105.4,105.5,105.3,105.5,105.4
青海省,104.6,104.5,104.9,105.4,105.1,105.2,105.3
宁夏回族自治区,103.2,104.0,104.4,104.5,104.6,105.5,104.3
新疆维吾尔自治区,105.2,104.7,104.6,104.9,106.1,105.7,107.7
数据来源：国家统计局
