数据库：分省年度数据
指标：第三产业增加值(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,29663.4,27508.1,24711.7,22245.7,20218.9,18333.9,16806.5
天津市,8922.9,8352.3,7717.5,6940.8,6227.6,5866.3,5383.6
河北省,18066.4,16252.0,14732.8,13059.3,11778.4,10567.3,9939.3
山西省,8670.0,8142.9,7129.8,6108.5,5890.5,4980.1,4605.3
内蒙古自治区,8586.1,8054.7,7374.0,6558.9,6049.2,5405.8,4939.4
辽宁省,13201.4,12441.0,11461.8,10685.6,9811.9,8984.9,8031.2
吉林省,6304.7,6041.6,5831.2,5395.5,4909.6,4891.5,4605.5
黑龙江省,6721.1,6309.3,5828.2,5454.0,5050.9,4607.4,4106.9
上海市,27686.9,25546.3,23288.3,21202.4,18352.8,16504.5,14786.0
江苏省,50852.1,46936.5,42700.5,38269.6,33931.7,30174.3,26752.5
浙江省,34075.8,30718.8,27222.5,23792.4,21129.8,18716.2,17453.1
安徽省,18959.5,17278.5,14412.7,12300.5,10616.8,9242.1,8177.4
福建省,19665.6,17461.0,15337.3,12780.6,11150.9,9921.2,8953.2
江西省,11789.3,10758.0,8930.9,7862.0,6698.8,5802.3,5097.7
山东省,37251.7,34174.7,31253.8,28367.2,25571.1,22524.0,20274.3
河南省,26046.5,23586.2,19745.3,17198.8,15120.7,13446.9,11809.9
湖北省,22896.5,20899.9,17992.2,15419.5,13664.6,12232.6,10648.0
湖南省,20845.2,19341.4,17369.9,14995.9,13125.0,11385.2,10042.3
广东省,60268.1,54710.4,49500.7,43163.5,37628.9,33204.0,30284.0
广西壮族自治区,10801.0,9913.9,8774.1,7695.3,6841.4,6028.8,5448.4
海南省,3168.1,2871.6,2538.4,2261.5,2016.0,1829.3,1641.4
重庆市,12662.2,11367.9,10335.2,9020.7,7764.8,6858.5,6097.7
四川省,24368.3,22417.7,19073.5,15787.8,13488.6,12283.9,10841.7
贵州省,8517.3,7691.0,6602.3,5461.8,4872.3,4309.3,3802.7
云南省,12125.7,11114.5,9829.8,8396.1,7389.0,6657.7,5946.5
西藏自治区,924.0,837.3,761.2,672.1,607.6,541.3,476.2
陕西省,12022.6,10896.4,9618.3,8443.2,7634.5,6790.6,6023.9
甘肃省,4796.6,4416.4,3961.2,3623.7,3317.8,2999.4,2682.4
青海省,1485.3,1386.2,1251.0,1169.3,1041.0,917.0,827.6
宁夏回族自治区,1881.4,1742.7,1543.7,1360.7,1225.8,1143.4,1057.5
新疆维吾尔自治区,7030.9,6460.1,5511.9,4711.6,4451.2,4028.5,3586.2
数据来源：国家统计局
