数据库：分省年度数据
指标：第三产业增加值指数(上年=100)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,106.5,107.3,107.4,107.4,108.2,107.6,107.8
天津市,105.9,105.6,105.1,107.6,106.7,108.4,111.6
河北省,110.0,110.0,110.8,109.8,110.4,109.2,108.7
山西省,106.5,109.0,108.1,106.9,111.3,108.3,109.0
内蒙古自治区,105.4,106.0,106.4,108.2,108.7,108.2,108.7
辽宁省,105.4,104.8,105.0,105.3,107.1,107.3,112.2
吉林省,103.3,105.4,106.9,108.0,107.7,107.0,111.8
黑龙江省,105.6,106.4,109.1,106.3,110.6,108.6,109.6
上海市,108.2,108.2,107.1,109.1,110.7,108.8,109.2
江苏省,106.5,107.9,108.4,109.7,109.5,110.0,109.4
浙江省,108.2,108.3,109.5,109.6,111.0,108.1,109.3
安徽省,107.7,108.8,110.0,111.1,110.3,109.7,110.2
福建省,110.4,108.6,110.0,111.0,110.1,108.1,109.3
江西省,108.8,108.6,110.8,111.1,110.1,109.0,107.2
山东省,108.2,108.9,109.3,109.3,109.6,109.2,110.3
河南省,107.7,109.5,109.7,110.6,111.1,110.0,109.9
湖北省,108.5,109.9,109.5,109.5,110.1,110.3,111.1
湖南省,108.1,109.1,109.8,110.1,110.8,110.7,111.0
广东省,107.9,107.8,108.6,109.2,109.6,108.0,109.7
广西壮族自治区,106.4,109.3,110.3,110.0,111.7,110.4,113.2
海南省,107.5,107.1,110.2,110.2,109.9,109.9,111.9
重庆市,106.4,109.0,110.0,111.0,111.6,109.9,112.8
四川省,108.4,109.5,109.7,109.2,109.4,109.2,109.2
贵州省,108.5,109.4,111.4,111.4,111.1,110.3,112.5
云南省,108.4,107.6,109.5,109.4,109.7,107.9,113.2
西藏自治区,109.2,105.3,110.4,110.1,109.8,110.2,109.7
陕西省,107.2,109.0,109.3,109.3,110.7,109.3,111.3
甘肃省,107.2,107.8,106.3,108.8,109.6,111.3,114.0
青海省,106.1,107.4,107.8,108.0,108.7,109.3,111.0
宁夏回族自治区,106.8,107.4,108.4,108.9,109.4,108.3,109.9
新疆维吾尔自治区,108.3,108.0,109.7,109.5,112.3,110.5,110.5
数据来源：国家统计局
