数据库：分省年度数据
指标：第二产业增加值(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,5667.4,5477.4,5049.4,4665.8,4419.8,4433.0,4168.3
天津市,4947.2,4835.3,4564.1,4368.0,4489.6,4615.5,4407.1
河北省,13393.7,12904.1,12778.0,12332.3,11519.5,11476.9,11178.4
山西省,7466.3,7074.5,6635.3,5113.6,5219.7,6378.0,6684.3
内蒙古自治区,6763.1,6335.4,5874.3,5579.8,5269.5,5114.4,4870.1
辽宁省,9475.9,9049.0,8328.9,7865.7,8344.6,9038.8,9204.2
吉林省,4134.8,4051.5,3995.5,3901.4,3837.8,3804.9,3572.1
黑龙江省,3640.1,3536.0,3519.5,3689.7,3926.9,4872.4,5202.7
上海市,10193.6,10360.8,9525.9,8570.2,8408.7,8633.3,8286.5
江苏省,43507.5,42129.4,39124.1,35041.5,33371.8,31048.8,29149.4
浙江省,26299.5,25308.1,23246.7,21571.3,20606.6,19580.7,18162.8
安徽省,14970.0,14094.4,12681.2,11517.5,10838.3,10982.6,10233.4
福建省,20065.5,18847.8,16290.0,14683.7,13735.7,13165.1,11805.5
江西省,10820.3,10081.2,9444.6,8732.5,8367.7,8238.7,7661.9
山东省,28171.8,27523.7,26925.6,25565.0,24814.9,23588.0,22615.9
河南省,23035.6,22038.6,20940.3,18986.9,17947.9,17139.6,15995.4
湖北省,18723.0,17573.9,15713.9,14527.0,13569.5,13007.9,11846.3
湖南省,15401.7,13904.1,13459.8,12942.0,12665.7,11825.1,10913.8
广东省,43368.2,41398.5,38536.6,35499.2,33913.8,31930.4,29343.0
广西壮族自治区,7046.4,6692.9,6138.3,5621.0,5391.0,5145.6,4709.3
海南省,1083.8,1053.1,996.4,904.0,882.9,826.5,750.9
重庆市,9392.0,8842.2,8455.0,7765.4,7208.0,6774.6,5988.6
四川省,17187.9,16056.9,14569.2,13450.1,13192.5,13082.7,12418.9
贵州省,5971.5,5506.2,4970.9,4468.7,4026.7,3582.4,3171.0
云南省,8060.4,7267.5,6317.8,5747.4,5491.7,5376.5,5000.5
西藏自治区,635.6,582.7,469.6,390.4,341.8,310.3,270.8
陕西省,11779.5,11215.3,10114.1,8906.5,8664.6,9045.0,8418.0
甘肃省,2862.4,2761.6,2515.8,2483.5,2505.4,2823.3,2674.0
青海省,1153.9,1093.7,975.7,867.7,761.1,714.8,681.0
宁夏回族自治区,1587.1,1488.1,1406.0,1179.7,1116.8,1113.7,1059.5
新疆维吾尔自治区,4784.4,4657.2,4096.2,3446.1,3446.1,3829.3,3479.9
数据来源：国家统计局
