数据库：分省年度数据
指标：第二产业增加值指数(上年=100)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,103.9,103.9,104.2,105.3,102.8,106.8,107.7
天津市,103.2,100.2,101.0,104.0,107.3,106.7,108.8
河北省,103.9,103.3,102.8,104.4,104.8,105.0,109.1
山西省,106.0,104.4,105.9,101.1,98.7,103.2,109.4
内蒙古自治区,105.7,105.0,101.5,106.9,107.8,108.6,110.1
辽宁省,106.0,107.3,103.2,95.4,99.4,105.0,107.0
吉林省,102.6,103.8,103.6,105.5,104.7,106.1,106.3
黑龙江省,102.7,102.1,102.8,102.0,101.7,102.9,107.0
上海市,100.5,103.5,106.7,102.2,101.1,104.4,105.9
江苏省,105.6,105.9,106.7,106.6,108.4,108.1,110.1
浙江省,105.5,106.3,106.3,105.9,105.9,107.8,108.2
安徽省,107.5,108.2,108.2,107.9,108.3,109.7,111.9
福建省,105.4,108.8,107.2,107.2,108.7,111.9,113.2
江西省,107.9,109.7,108.1,108.5,109.4,111.0,112.1
山东省,102.6,104.1,106.0,106.2,107.1,108.8,109.8
河南省,106.8,106.9,107.0,107.1,107.6,109.3,109.5
湖北省,106.7,106.8,107.1,107.8,108.3,110.2,110.6
湖南省,107.8,107.4,106.9,106.8,107.6,109.6,111.0
广东省,104.2,105.9,106.5,106.1,107.0,108.0,108.0
广西壮族自治区,105.5,103.8,104.1,104.9,105.6,108.0,109.4
海南省,104.1,104.1,102.6,104.7,105.7,109.5,108.4
重庆市,106.4,103.0,109.3,111.3,111.2,112.7,112.9
四川省,107.4,107.5,107.5,107.6,107.7,109.0,112.0
贵州省,108.8,109.5,110.1,111.3,111.4,112.3,114.1
云南省,108.5,111.6,110.8,109.1,108.5,108.8,112.6
西藏自治区,107.0,116.8,110.8,111.6,115.0,113.7,119.2
陕西省,105.0,108.0,107.1,106.6,105.9,110.5,110.9
甘肃省,104.7,104.2,99.2,106.8,107.5,107.9,110.5
青海省,106.3,107.5,107.1,108.3,108.2,110.0,111.9
宁夏回族自治区,106.7,106.8,106.7,106.5,107.4,108.1,110.7
新疆维吾尔自治区,103.5,104.2,106.0,106.0,107.2,111.2,112.6
数据来源：国家统计局
