数据库：分省年度数据
指标：经营单位所在地进出口总额(千美元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,416456752,412487938,324017423,282348960,319440570,415518593,428995812
天津市,106645671,122557291,112919165,102655947,114282803,133886075,128501788
河北省,58043282,53900873,49855543,46675380,51513748,59877359,54911571
山西省,20981625,20762372,17186875,16661411,14681315,16232813,15790979
内蒙古自治区,15939467,15690267,13873523,11640301,12731151,14556321,11994572
辽宁省,105320038,114601136,99595084,86556895,95947125,113998255,114478189
吉林省,18904123,20679164,18542971,18452886,18877390,26380786,25831735
黑龙江省,27108645,26437359,18951195,16539178,21012034,38900926,38879095
上海市,493905026,515679700,476196649,433768191,449240723,466399838,441268216
江苏省,629515934,663913736,590778136,509296406,545560447,563553079,550802269
浙江省,447224509,432360099,377907471,336575909,346783826,355039765,335788705
安徽省,68730324,62840317,54021626,44412861,47844532,49177300,45518969
福建省,193111151,187407290,171020040,156826190,168845931,177407841,169320901
江西省,50889783,48187584,44338984,40028407,42399604,42730822,36746634
山东省,296995532,292397074,264550956,234355852,240607798,276929398,266531533
河南省,82498953,82813633,77630090,71213099,73780562,64972209,59956868
湖北省,57160602,52781547,46337190,39388773,45552580,43039619,36380076
湖南省,62849835,46474201,36033297,26243470,29301801,30831603,25175308
广东省,1036626724,1084464573,1006678374,955298007,1022495683,1076584474,1091581437
广西壮族自治区,68221637,62302266,57878659,47627431,51090547,40548851,32827499
海南省,13152748,12733530,10374055,11348430,13966965,15862660,14985434
重庆市,83949585,79016913,66601107,62753637,74466845,95431578,68692163
四川省,98400662,89921137,68106058,49306252,51188560,70202970,64574658
贵州省,6568169,7602857,8162313,5699617,12221418,10771326,8290101
云南省,33692437,29857965,23451109,19902360,24491279,29607422,25303558
西藏自治区,702863,723178,863450,781922,913839,2254947,3319409
陕西省,51033133,53304882,40202798,29947223,30498504,27364485,20128062
甘肃省,5520088,6013027,4826333,6832980,7952016,8640615,10236106
青海省,544815,727175,655751,1529204,1934472,1717888,1402742
宁夏回族自治区,3489611,3776564,5039517,3252489,3739255,5435212,3217686
新疆维吾尔自治区,23707348,19999747,20568530,17637744,19669397,27672315,27561391
注：进出口数据来源于海关总署。1978年为外贸业务统计数，1980年起为海关进出口统计数。
数据来源：国家统计局
