数据库：分省年度数据
指标：营业盈余(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,6287.9,5590.4,4629.2,4981.2,4327.6
天津市,,,3103.5,3525.1,3399.4,3352.8,3117.9
河北省,,,6328.2,5921.6,5405.1,5267.4,5160.2
山西省,,,3003.8,2173.4,2130.6,2221.7,2329.6
内蒙古自治区,,,3450.7,3019.7,3207.8,2913.2,2874.9
辽宁省,,,5071.8,4754.6,4656.0,4522.2,4413.0
吉林省,,,2632.7,2533.3,2364.2,2805.9,2349.3
黑龙江省,,,2194.3,2140.8,2095.6,2579.8,2852.9
上海市,,,8780.0,7635.0,6806.1,6404.8,5862.6
江苏省,,,24830.1,22192.7,20725.0,19129.4,17618.5
浙江省,,,13459.0,12107.5,10638.9,10428.6,9498.2
安徽省,,,6880.9,6097.3,5435.1,5116.9,4756.3
福建省,,,8170.7,6559.8,5582.2,5718.1,5532.9
江西省,,,5757.7,5314.3,4706.8,4518.9,3920.4
山东省,,,16538.1,16593.5,15611.8,14301.5,14057.5
河南省,,,10054.0,9039.4,8189.2,7483.1,6976.5
湖北省,,,8472.3,7608.9,6783.7,6146.2,5631.8
湖南省,,,8102.0,7408.3,6782.9,6143.3,5432.0
广东省,,,22833.7,20158.0,18091.4,16413.0,15766.9
广西壮族自治区,,,3121.0,2664.6,2289.6,2252.5,2425.7
海南省,,,904.7,819.6,747.1,683.1,590.4
重庆市,,,5298.2,4744.4,4111.2,3857.3,3498.4
四川省,,,10394.1,9251.3,8553.3,8398.9,7802.6
贵州省,,,2235.4,1802.1,1572.9,1394.2,1286.6
云南省,,,3724.0,3365.5,3103.6,2936.0,2707.4
西藏自治区,,,263.0,225.8,197.2,177.4,153.1
陕西省,,,5361.1,4268.0,3879.1,4362.2,4413.6
甘肃省,,,1473.5,1317.1,1368.0,1306.6,1172.4
青海省,,,339.7,301.8,317.8,240.2,297.5
宁夏回族自治区,,,736.0,628.2,573.9,554.1,535.8
新疆维吾尔自治区,,,1917.2,1397.4,1241.9,1640.5,1654.3
注：按照我国国民经济核算数据修订制度和国际通行作法，在第四次全国经济普查后，对2018年以前年度的地区生产总值历史数据进行了系统修订。
数据来源：国家统计局
