数据库：分省年度数据
指标：货物和服务净流出(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,226.5,188.5,21.0,-307.8,-313.9
天津市,,,-342.2,-710.8,-1616.6,-2551.0,-2311.4
河北省,,,-1122.5,-1102.2,-743.5,-480.2,28.6
山西省,,,-382.7,-3860.2,-3638.2,-2853.8,-2749.5
内蒙古自治区,,,-2665.5,-2520.6,-3657.8,-3143.9,-5785.4
辽宁省,,,-495.5,-584.6,3043.9,-1035.2,-1081.8
吉林省,,,-835.5,-943.1,-1050.7,-1106.7,-1261.8
黑龙江省,,,-3954.9,-3554.2,-3668.3,-3043.5,-3013.0
上海市,,,888.9,680.4,718.1,941.8,727.0
江苏省,,,5495.7,4765.1,4474.3,4221.3,4104.7
浙江省,,,3524.8,3105.9,3070.9,2980.4,2718.9
安徽省,,,-204.3,-212.9,-277.2,-193.8,-69.4
福建省,,,521.9,562.4,508.1,578.7,565.0
江西省,,,-242.1,-167.4,-17.3,64.9,136.3
山东省,,,1035.7,1237.6,1270.5,1452.7,1129.8
河南省,,,-9624.5,-9865.3,-9973.6,-9156.3,-7961.5
湖北省,,,-2547.3,-1375.9,8.3,55.8,25.1
湖南省,,,-1758.8,-1308.5,-1408.6,-1078.0,-781.0
广东省,,,4918.8,5321.9,5227.1,5129.5,3917.0
广西壮族自治区,,,-1346.6,-3880.7,-3527.6,-3304.6,-3159.1
海南省,,,-1135.0,-1013.5,-857.0,-821.1,-770.5
重庆市,,,-246.6,-255.5,-224.0,-257.1,-263.1
四川省,,,-406.7,-468.7,-528.1,-419.7,-456.9
贵州省,,,-3322.0,-3164.3,-2559.4,-2136.4,-1790.4
云南省,,,-9616.7,-8707.6,-7843.1,-7071.6,-5598.5
西藏自治区,,,-1110.4,-912.4,-825.6,-726.5,-610.0
陕西省,,,-2191.3,-2299.0,-2066.4,-2108.3,-2045.1
甘肃省,,,-1493.0,-2426.1,-2032.7,-1349.1,-1190.7
青海省,,,-3087.6,-2669.4,-2443.0,-1855.5,-1466.5
宁夏回族自治区,,,-2476.5,-2550.9,-2428.5,-1820.2,-1109.2
新疆维吾尔自治区,,,-7242.2,-5175.7,-5100.3,-4033.5,-3431.5
数据来源：国家统计局
