数据库：分省年度数据
指标：资本形成总额(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,10946.3,10074.1,8490.0,8309.4,7868.4
天津市,,,10467.2,10584.1,10999.1,12024.4,11046.8
河北省,,,19083.2,18636.5,17352.1,17362.4,16386.2
山西省,,,7154.7,9464.3,9269.9,9249.7,9169.0
内蒙古自治区,,,10298.3,12617.8,14036.5,13755.2,15728.1
辽宁省,,,10127.5,9682.0,12605.6,17469.1,16944.6
吉林省,,,9980.1,10152.9,10965.4,10330.1,9708.1
黑龙江省,,,9735.0,9360.3,9765.3,9441.5,9432.3
上海市,,,12193.1,11321.2,9550.8,8767.8,8358.8
江苏省,,,37353.4,33123.3,30600.6,29799.7,28634.3
浙江省,,,22764.5,21393.8,18879.3,17827.3,17112.4
安徽省,,,13723.4,12507.8,11312.3,10905.8,9919.0
福建省,,,18509.3,16633.8,15142.8,14177.7,12804.7
江西省,,,10025.1,9303.6,8322.8,7262.8,7160.1
山东省,,,36412.6,34637.3,35587.4,33780.8,30952.9
河南省,,,31047.7,29560.1,28253.1,27244.4,24830.0
湖北省,,,20853.6,18786.3,17418.4,16109.6,14245.4
湖南省,,,17585.4,16737.3,15555.1,15652.2,14001.6
广东省,,,39657.5,34647.1,30374.2,28759.8,26050.8
广西壮族自治区,,,9364.5,12363.9,11452.2,10789.8,10129.5
海南省,,,2815.7,2577.1,2317.1,2599.1,2326.6
重庆市,,,10380.7,9551.6,8438.0,7755.0,6984.8
四川省,,,18021.2,16165.3,14806.2,14426.5,13494.6
贵州省,,,9356.5,8195.0,7104.2,6114.3,5261.4
云南省,,,15487.0,13903.3,12606.9,11678.6,9955.3
西藏自治区,,,1376.1,1162.8,1032.0,1052.1,899.1
陕西省,,,14414.8,12907.7,11888.3,11982.1,11038.4
甘肃省,,,3804.6,4875.1,4448.8,4150.4,3775.9
青海省,,,3897.0,3565.5,3374.1,3004.4,2519.1
宁夏回族自治区,,,3806.9,3827.9,3620.7,3103.7,2334.2
新疆维吾尔自治区,,,10852.1,8670.1,8785.3,8282.5,7192.5
数据来源：国家统计局
