数据库：分省年度数据
指标：资本形成率(%)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,,,39.1,39.2,36.9,39.0,40.3
天津市,,,56.4,59.2,66.5,76.5,76.9
河北省,,,56.1,58.1,58.2,59.0,57.9
山西省,,,46.1,72.5,72.6,72.5,72.8
内蒙古自治区,,,64.0,69.6,78.7,77.4,93.4
辽宁省,,,43.3,43.5,44.0,61.0,62.6
吉林省,,,66.8,68.7,70.7,70.6,69.6
黑龙江省,,,61.2,60.8,64.7,61.8,65.6
上海市,,,39.8,40.2,38.0,37.2,38.7
江苏省,,,43.5,42.8,43.6,45.8,48.4
浙江省,,,44.0,45.3,44.0,44.4,45.5
安徽省,,,50.8,51.2,51.4,52.3,57.6
福建省,,,57.5,57.7,58.3,58.9,58.8
江西省,,,50.1,50.3,49.8,50.4,49.9
山东省,,,50.1,50.9,56.5,56.8,56.6
河南省,,,69.7,73.0,76.4,78.0,77.2
湖北省,,,58.8,57.5,55.8,56.1,56.0
湖南省,,,51.9,53.0,53.8,57.9,57.1
广东省,,,44.2,42.9,41.7,42.4,41.9
广西壮族自治区,,,50.6,67.5,68.2,68.8,70.5
海南省,,,63.1,63.6,62.6,74.2,73.9
重庆市,,,53.4,53.8,53.7,54.4,54.6
四川省,,,48.7,49.1,49.3,50.6,51.4
贵州省,,,69.1,69.6,67.6,66.0,65.7
云南省,,,94.6,94.0,92.6,91.1,84.9
西藏自治区,,,105.0,101.0,100.5,114.3,111.3
陕西省,,,65.8,66.5,66.0,67.7,68.8
甘肃省,,,51.0,67.7,65.5,60.7,60.2
青海省,,,148.5,138.6,139.6,130.4,119.9
宁夏回族自治区,,,110.6,120.8,124.3,112.8,91.0
新疆维吾尔自治区,,,99.7,89.8,94.2,89.3,86.0
数据来源：国家统计局
