数据库：分省年度数据
指标：金融业增加值(亿元)
时间：2013-2019
地区,2019年,2018年,2017年,2016年,2015年,2014年,2013年
北京市,6544.2,5951.3,5299.6,4784.7,4365.5,3736.8,3247.5
天津市,1907.9,1838.4,1731.8,1558.6,1455.6,1351.4,1192.4
河北省,2411.1,2220.9,2039.9,1720.0,1471.4,1327.9,1124.6
山西省,1130.6,1081.1,965.1,909.4,849.5,678.3,582.3
内蒙古自治区,874.9,847.0,809.4,730.1,627.8,547.9,489.3
辽宁省,1988.1,1856.6,1755.9,1650.4,1553.7,1218.1,1028.7
吉林省,837.9,780.8,774.6,732.2,683.1,680.4,643.1
黑龙江省,977.2,946.6,898.6,864.6,811.9,682.7,577.6
上海市,6535.2,5901.9,5334.5,4698.0,4089.5,3365.3,2787.2
江苏省,7435.7,6846.9,6215.7,5545.2,4914.6,4483.7,3818.8
浙江省,4904.0,4506.3,3770.6,3229.7,2956.3,2824.4,2786.7
安徽省,2340.6,2142.5,1683.2,1446.1,1236.8,1049.4,910.8
福建省,3040.5,2581.1,2343.4,2082.4,1852.6,1605.9,1411.5
江西省,1583.0,1422.6,1100.1,1012.3,861.7,739.7,542.8
山东省,4177.4,3871.2,3570.6,3265.2,2890.8,2525.8,2215.6
河南省,2773.2,2529.2,2130.5,1850.4,1612.8,1375.1,1168.3
湖北省,2783.6,2554.0,2255.2,1975.1,1588.8,1196.4,1033.1
湖南省,1938.6,1809.9,1701.8,1340.1,1209.8,962.7,763.1
广东省,8764.1,7962.3,7311.2,6570.0,6119.7,4872.8,4498.8
广西壮族自治区,1469.5,1366.8,1242.1,1110.7,996.3,830.8,735.1
海南省,386.2,380.1,328.9,296.9,255.8,238.5,192.8
重庆市,2088.0,1876.0,1737.6,1594.0,1387.2,1210.0,1070.3
四川省,3101.7,2922.4,2720.8,2312.7,1878.5,1622.0,1530.2
贵州省,1060.0,992.3,874.5,736.1,642.5,575.3,507.1
云南省,1393.1,1312.6,1245.7,1121.3,1001.0,881.3,737.1
西藏自治区,121.9,118.6,108.2,90.4,66.0,54.2,40.6
陕西省,1673.7,1580.3,1435.9,1295.1,1177.3,1024.3,791.1
甘肃省,862.3,774.5,718.0,646.3,555.1,449.2,343.0
青海省,263.0,259.5,258.9,232.6,207.9,127.1,106.1
宁夏回族自治区,305.9,285.9,266.0,239.8,217.9,199.0,179.5
新疆维吾尔自治区,1018.6,967.3,858.1,748.2,711.8,666.5,563.6
数据来源：国家统计局
