Province,Year,Violent_Crime_Count,Property_Crime_Count,Financial_Crime_Count,Other_Crime_Count,Total_Crime_Count,GDP_100M_Yuan,GDP_Per_Capita,GDP_Index,Primary_Industry_Value_Added,Secondary_Industry_Value_Added,Tertiary_Industry_Value_Added,Agriculture_Forestry_Livestock_Fishery_Value_Added,Industrial_Value_Added,Construction_Value_Added,Wholesale_Retail_Value_Added,Real_Estate_Value_Added,Accommodation_Catering_Value_Added,Other_Industries_Value_Added,Total_Population,Gender_Ratio_Female_100,All_Residents_Per_Capita_Disposable_Income,Urban_Per_Capita_Disposable_Income,Rural_Per_Capita_Disposable_Income,All_Residents_Per_Capita_Consumption_Expenditure,Urban_Per_Capita_Consumption_Expenditure,Rural_Per_Capita_Consumption_Expenditure,Resident_Consumption,Urban_Resident_Consumption_100M_Yuan,Rural_Resident_Consumption_100M_Yuan,Resident_Consumption_Level_Yuan,Urban_Resident_Consumption_Level_Yuan,Rural_Resident_Consumption_Level_Yuan,Urban_Registered_Unemployment_10K_People,Urban_Registered_Unemployment_Rate,Consumer_Price_Index,Resident_Consumption_Level_Index,Urban_Consumption_Level_Index,Rural_Consumption_Level_Index,Local_Government_Budget_Revenue,Local_Government_Budget_Expenditure,Expenditure_Method_GDP,Income_Method_GDP,Final_Consumption,Gross_Fixed_Capital_Formation,Final_Consumption_Rate,Government_Consumption,Labor_Compensation,Fixed_Asset_Depreciation,Net_Production_Taxes,Inventory_Increase,Primary_Industry_Share,Secondary_Industry_Share,Tertiary_Industry_Share,Urban_Rural_Income_Ratio,Government_Expenditure_GDP_Ratio,GDP_Per_Capita_10K_Yuan,GDP_Growth_Rate,Unemployment_Rate_Per_10K,Violent_Crime_Rate,Property_Crime_Rate,Financial_Crime_Rate,Other_Crime_Rate,Total_Crime_Rate,Time_Trend,Log_GDP_100M_Yuan,Log_GDP_Per_Capita,Log_GDP_Index,Log_Total_Population,Log_All_Residents_Per_Capita_Disposable_Income,Economic_Development_Level,Crime_Intensity,Crime_Rate_Change,Region
上海市,2013,301,1192,0,0,2986,23204.1,95746.0,107.9,131.6,8286.5,14786.0,136.0,7765.3,586.5,3593.3,1917.4,318.2,5155.2,2448.0,106.24,42174.0,44878.0,19208.0,30400.0,32447.0,13016.0,9405.0,8893.5,511.5,39223.0,41464.0,20221.0,25.3,4.0,102.3,107.3,107.0,110.3,4109.51,4528.61,21602.1,23204.1,12516.3,7617.1,57.9,3111.3,9852.6,3076.8,4412.1,741.7,0.5671411517792114,35.71136135424343,63.72149749397737,2.3364223240316533,19.5164216668606,94.78799019607844,7.900000000000006,1.0334967320261437,1.2295751633986929,4.869281045751634,0.0,0.0,12.197712418300654,0,10.052127361082064,11.469464574959359,4.690430029938915,7.803435056952168,10.64958290741417,High,Low,,Eastern
上海市,2014,748,4327,0,0,10150,25269.8,102827.0,107.1,132.0,8633.3,16504.5,136.3,8099.9,601.4,3729.4,2121.1,368.8,5788.2,2467.0,106.7,45966.0,48841.0,21192.0,33065.0,35182.0,14820.0,10409.4,9835.4,574.0,43007.0,45352.0,22803.0,25.6,4.1,102.7,107.3,107.3,108.3,4585.55,4923.44,23567.7,25269.8,13858.1,8022.5,58.8,3448.8,10975.2,3220.7,4669.1,745.3,0.5223626621500763,34.16449675106253,65.31314058678738,2.304690449226123,19.48349413133464,102.43129306850426,7.099999999999994,1.0376976084312932,3.0320226996351844,17.539521686258613,0.0,0.0,41.143088771787596,1,10.137404857973733,11.54081296845712,4.683056724645162,7.811163385025279,10.735679026718607,High,High,237.30167887922312,Eastern
上海市,2015,492,3200,0,0,7384,26887.0,109186.0,107.0,125.5,8408.7,18352.8,129.7,7888.6,589.3,3892.2,2404.2,382.9,6367.3,2458.0,108.37,49867.0,52962.0,23205.0,34784.0,36946.0,16152.0,11089.6,10454.9,634.7,45816.0,48750.0,23005.0,24.8,4.0,102.4,106.5,107.4,100.7,5519.5,6191.56,25123.5,26887.0,14854.5,8999.9,59.1,3764.9,11818.2,3410.4,4852.4,551.0,0.466768326700636,31.274221742849704,68.25900993044965,2.2823529411764705,23.02808048499275,109.38567941415783,7.0,1.0089503661513426,2.001627339300244,13.018714401952808,0.0,0.0,30.040683482506104,2,10.199435369404942,11.600817287587164,4.68213122712422,7.807510042216193,10.817134793464865,High,High,-26.98486093463788,Eastern
上海市,2016,283,1456,0,0,3478,29887.0,121369.0,106.9,114.3,8570.2,21202.4,118.3,8045.5,595.6,4218.5,3102.5,400.1,7453.9,2467.0,105.87,54305.0,57692.0,25520.0,37458.0,39857.0,17071.0,11994.8,11294.1,700.7,49617.0,53240.0,23660.0,24.3,4.1,103.2,106.7,107.6,101.4,6406.13,6918.94,28178.7,29887.0,16177.0,10631.4,57.4,4182.3,13213.2,3724.1,5314.7,689.8,0.3824418056071388,28.6754397411575,70.94211845323537,2.2606583072100315,23.15033292066785,121.14714227807052,6.900000000000006,0.9850020267531414,1.1471422780705312,5.901905147952979,0.0,0.0,14.09809485204702,3,10.30521234102857,11.706599010100406,4.681204872264089,7.811163385025279,10.902389997055225,High,Low,-53.06999303042853,Eastern
上海市,2017,233,1384,0,0,3234,32925.0,133489.0,107.0,110.8,9525.9,23288.3,115.1,8977.4,634.4,4562.9,2873.2,430.3,8615.6,2466.0,103.54,58988.0,62596.0,27825.0,39792.0,42304.0,18090.0,12970.1,12214.0,756.2,53617.0,57507.0,25622.0,22.1,3.9,101.7,107.3,107.2,107.6,6642.26,7547.62,30633.0,32925.0,17551.0,11507.2,57.3,4580.9,14997.1,3923.6,5224.4,685.9,0.3365223993925588,28.932118451025055,70.73135914958239,2.2496316262354,22.923675018982536,133.51581508515815,7.0,0.8961881589618816,0.9448499594484995,5.612327656123277,0.0,0.0,13.114355231143554,4,10.402017898207967,11.801781847649778,4.68213122712422,7.810758116529357,10.985106264827667,High,Low,-6.977819565177834,Eastern
上海市,2018,132,1160,0,0,2584,36011.8,145767.0,106.8,104.8,10360.8,25546.3,112.4,9763.5,685.7,4884.8,3185.3,451.6,9410.1,2475.0,106.61,64183.0,68034.0,30375.0,43351.0,46015.0,19965.0,,,,,,,19.4,3.5,101.6,,,,7108.15,8351.54,,,,,,,,,,,0.2910149145143689,28.770489754775507,70.93849533071014,2.2398024691358023,23.19112068821886,145.50222222222223,6.799999999999997,0.7838383838383837,0.5333333333333333,4.686868686868687,0.0,0.0,10.44040404040404,5,10.491629709798906,11.889771595729714,4.680277658474897,7.814399633804487,11.069509237433492,High,Low,-20.389497947939518,Eastern
上海市,2019,48,578,0,0,1252,37987.6,153299.0,106.0,107.1,10193.6,27686.9,113.3,9565.1,716.2,5023.2,3300.7,458.9,10624.5,2481.0,107.86,69442.0,73615.0,33195.0,45605.0,48272.0,22449.0,,,,,,,19.3,3.6,102.5,,,,7165.1,8179.28,,,,,,,,,,,0.2819341048131495,26.834019522159856,72.88404637302698,2.217653261033288,21.531447103791766,153.11406690850464,6.0,0.7779121322047562,0.19347037484885127,2.3297057638049172,0.0,0.0,5.0463522773075375,6,10.54504139369952,11.940152064859905,4.672828834461906,7.8168199657645525,11.148261551165996,High,Low,-51.66516297857524,Eastern
云南省,2013,645,1008,0,0,3306,12825.5,27665.0,112.2,1878.5,5000.5,5946.5,1912.8,3903.4,1100.0,1345.8,586.7,347.0,2363.9,4641.0,107.56,12578.0,22460.0,6724.0,8824.0,14862.0,5247.0,5244.6,3558.7,1685.9,11224.0,19089.0,6003.0,18.1,4.0,103.1,111.7,111.8,105.2,1611.3,4096.51,11720.9,12825.5,7364.2,9311.1,62.8,2119.6,6568.0,1602.9,1947.2,644.1,14.64660247163853,38.98873338271412,46.364664145647346,3.340273646638906,31.94035320260419,27.635207929325578,12.200000000000005,0.3900021547080371,1.389786683904331,2.1719457013574663,0.0,0.0,7.123464770523594,0,9.45926862226412,10.22795950143476,4.729156165769083,8.442900586834382,9.439784035838873,Low,Low,,Western
云南省,2014,1785,3728,0,0,11026,14041.7,30217.0,108.1,2007.4,5376.5,6657.7,2045.4,4085.0,1294.6,1469.8,659.7,384.8,2629.4,4653.0,105.4,13772.0,24299.0,7456.0,9870.0,16268.0,6030.0,5750.9,3781.0,1969.9,12235.0,19569.0,7116.0,19.2,4.0,102.4,107.7,102.3,114.8,1698.06,4437.98,12814.6,14041.7,8207.5,10918.8,64.0,2456.6,7208.4,1812.3,2084.9,759.8,14.296091613491344,38.289796034639934,47.41411235186874,3.258986051502146,31.605717256457545,30.17773479475607,8.099999999999994,0.4126370083816892,3.8362346872985174,8.012035246077799,0.0,0.0,23.696539866752634,1,9.549857966783357,10.316193052299786,4.692264892839025,8.445482343862237,9.530465432917332,Low,High,232.6546930477888,Western
云南省,2015,1749,4428,0,0,12354,14960.0,32117.0,108.7,2079.3,5491.7,7389.0,2121.8,4044.5,1450.5,1583.3,709.7,398.1,3000.6,4663.0,104.98,15223.0,26373.0,8242.0,11005.0,17675.0,6830.0,6354.3,4252.9,2101.3,13401.0,20699.0,7820.0,19.5,4.0,101.9,110.9,109.4,108.6,1808.1,4712.83,13619.2,14960.0,8855.3,12080.1,65.0,2501.1,7864.2,1939.7,2052.5,526.8,13.899064171122996,36.70922459893048,49.39171122994652,3.1998301383159427,31.5028743315508,32.08235041818572,8.700000000000003,0.4181857173493459,3.750804203302595,9.496032597040532,0.0,0.0,26.49367360068625,2,9.613202094214232,10.377171899621436,4.697749367281185,8.447628728030327,9.630628408975985,Low,High,11.803975389074118,Western
